sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,nccl_graph_mixing
Cgraph,nccl_graphs,16384,16384,1000,1,1,1.548764,1.540326,1
Cgraph,nccl_graphs,16384,16384,1000,1,1,1.548042,1.540612,0
Cgraph,nccl_graphs,16384,16384,1000,1,2,1.543903,1.535905,1
Cgraph,nccl_graphs,16384,16384,1000,1,2,1.554677,1.541500,0
Cgraph,nccl_graphs,16384,16384,1000,1,3,1.549205,1.537693,1
Cgraph,nccl_graphs,16384,16384,1000,1,3,1.550079,1.540831,0
Cgraph,nccl_graphs,16384,16384,1000,2,1,0.781911,1.544999,1
Cgraph,nccl_graphs,16384,16384,1000,2,1,0.782995,1.540568,0
Cgraph,nccl_graphs,16384,16384,1000,2,2,0.783616,1.540459,1
Cgraph,nccl_graphs,16384,16384,1000,2,2,0.785575,1.542288,0
Cgraph,nccl_graphs,16384,16384,1000,2,3,0.783973,1.541095,1
Cgraph,nccl_graphs,16384,16384,1000,2,3,0.782421,1.541750,0
Cgraph,nccl_graphs,16384,16384,1000,4,1,0.406223,1.541787,1
Cgraph,nccl_graphs,16384,16384,1000,4,1,0.411579,1.543539,0
Cgraph,nccl_graphs,16384,16384,1000,4,2,0.413183,1.549423,1
Cgraph,nccl_graphs,16384,16384,1000,4,2,0.408239,1.543649,0
Cgraph,nccl_graphs,16384,16384,1000,4,3,0.412073,1.550888,1
Cgraph,nccl_graphs,16384,16384,1000,4,3,0.406626,1.545163,0
Cgraph,nccl_graphs,16384,16384,1000,8,1,0.220138,1.548941,1
Cgraph,nccl_graphs,16384,16384,1000,8,1,0.252860,1.537270,0
Cgraph,nccl_graphs,16384,16384,1000,8,2,0.250698,1.536797,1
Cgraph,nccl_graphs,16384,16384,1000,8,2,0.255694,1.542703,0
Cgraph,nccl_graphs,16384,16384,1000,8,3,0.253791,1.537596,1
Cgraph,nccl_graphs,16384,16384,1000,8,3,0.249540,1.540913,0
