sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,nccl_graph_mixing
Csmall,nccl_graphs,128,16384,5000,4,1,0.141943,0.155339,1
Csmall,nccl_graphs,128,16384,5000,4,1,0.136742,0.151471,0
Csmall,nccl_graphs,128,16384,5000,4,2,0.137079,0.178846,1
Csmall,nccl_graphs,128,16384,5000,4,2,0.268826,0.153592,0
Csmall,nccl_graphs,128,16384,5000,4,3,0.141252,0.180936,1
Csmall,nccl_graphs,128,16384,5000,4,3,0.136576,0.151729,0
Csmall,nccl_graphs,128,16384,5000,4,4,0.274338,0.178811,1
Csmall,nccl_graphs,128,16384,5000,4,4,0.150724,0.152053,0
Csmall,nccl_graphs,128,16384,5000,4,5,0.249365,0.178644,1
Csmall,nccl_graphs,128,16384,5000,4,5,0.135608,0.178858,0
Csmall,nccl_graphs,128,16384,5000,8,1,0.143997,0.179008,1
Csmall,nccl_graphs,128,16384,5000,8,1,0.138701,0.179175,0
Csmall,nccl_graphs,128,16384,5000,8,2,0.141532,0.178617,1
Csmall,nccl_graphs,128,16384,5000,8,2,0.135530,0.178609,0
Csmall,nccl_graphs,128,16384,5000,8,3,0.264626,0.177467,1
Csmall,nccl_graphs,128,16384,5000,8,3,0.138751,0.152739,0
Csmall,nccl_graphs,128,16384,5000,8,4,0.139562,0.153720,1
Csmall,nccl_graphs,128,16384,5000,8,4,0.138330,0.179859,0
Csmall,nccl_graphs,128,16384,5000,8,5,0.138147,0.177191,1
Csmall,nccl_graphs,128,16384,5000,8,5,0.141041,0.157538,0
Csmall,nccl_graphs,512,16384,5000,4,1,0.170806,0.343374,1
Csmall,nccl_graphs,512,16384,5000,4,1,0.170776,0.340714,0
Csmall,nccl_graphs,512,16384,5000,4,2,0.168229,0.336512,1
Csmall,nccl_graphs,512,16384,5000,4,2,0.171671,0.352599,0
Csmall,nccl_graphs,512,16384,5000,4,3,0.513021,0.330331,1
Csmall,nccl_graphs,512,16384,5000,4,3,0.173124,0.335610,0
Csmall,nccl_graphs,512,16384,5000,4,4,0.167432,0.365060,1
Csmall,nccl_graphs,512,16384,5000,4,4,0.172460,0.350099,0
Csmall,nccl_graphs,512,16384,5000,4,5,0.296194,0.351986,1
Csmall,nccl_graphs,512,16384,5000,4,5,0.282566,0.360266,0
Csmall,nccl_graphs,512,16384,5000,8,1,0.151033,0.352096,1
Csmall,nccl_graphs,512,16384,5000,8,1,0.297860,0.332252,0
Csmall,nccl_graphs,512,16384,5000,8,2,0.150411,0.332028,1
Csmall,nccl_graphs,512,16384,5000,8,2,0.142211,0.355057,0
Csmall,nccl_graphs,512,16384,5000,8,3,0.153785,0.356971,1
Csmall,nccl_graphs,512,16384,5000,8,3,0.142254,0.336122,0
Csmall,nccl_graphs,512,16384,5000,8,4,0.147050,0.334151,1
Csmall,nccl_graphs,512,16384,5000,8,4,0.147711,0.352274,0
Csmall,nccl_graphs,512,16384,5000,8,5,0.170495,0.359661,1
Csmall,nccl_graphs,512,16384,5000,8,5,0.140246,0.359695,0
