# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 100 iters: 200 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1342875 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1342875 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1342875 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1342875 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1342875 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1342875 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1342875 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1342875 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    33.32    0.00    0.00       0    33.18    0.00    0.00       0
           8             2     float     sum      -1    33.16    0.00    0.00       0    33.78    0.00    0.00       0
          16             4     float     sum      -1    31.87    0.00    0.00       0    31.89    0.00    0.00       0
          32             8     float     sum      -1    32.00    0.00    0.00       0    31.89    0.00    0.00       0
          64            16     float     sum      -1    32.14    0.00    0.00       0    31.97    0.00    0.00       0
         128            32     float     sum      -1    32.03    0.00    0.01       0    32.01    0.00    0.01       0
         256            64     float     sum      -1    32.01    0.01    0.01       0    32.16    0.01    0.01       0
         512           128     float     sum      -1    32.09    0.02    0.03       0    31.92    0.02    0.03       0
        1024           256     float     sum      -1    32.01    0.03    0.06       0    32.01    0.03    0.06       0
        2048           512     float     sum      -1    32.52    0.06    0.11       0    32.48    0.06    0.11       0
        4096          1024     float     sum      -1    33.15    0.12    0.22       0    33.17    0.12    0.22       0
        8192          2048     float     sum      -1    33.57    0.24    0.43       0    33.48    0.24    0.43       0
       16384          4096     float     sum      -1    33.85    0.48    0.85       0    33.79    0.48    0.85       0
       32768          8192     float     sum      -1    33.89    0.97    1.69       0    33.83    0.97    1.69       0
       65536         16384     float     sum      -1    34.39    1.91    3.34       0    34.24    1.91    3.35       0
      131072         32768     float     sum      -1    34.75    3.77    6.60       0    34.76    3.77    6.60       0
      262144         65536     float     sum      -1    35.52    7.38   12.92       0    35.58    7.37   12.89       0
      524288        131072     float     sum      -1    35.98   14.57   25.50       0    35.89   14.61   25.56       0
     1048576        262144     float     sum      -1    37.79   27.75   48.56       0    37.61   27.88   48.78       0
     2097152        524288     float     sum      -1    40.72   51.50   90.13       0    40.58   51.68   90.45       0
     4194304       1048576     float     sum      -1    53.17   78.88  138.04       0    52.85   79.36  138.87       0
     8388608       2097152     float     sum      -1    81.93  102.39  179.18       0    81.12  103.41  180.96       0
    16777216       4194304     float     sum      -1   122.80  136.62  239.09       0   122.01  137.50  240.63       0
    33554432       8388608     float     sum      -1   197.76  169.67  296.92       0   197.74  169.69  296.95       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 43.5864 
#
# Collective test concluded: all_reduce_perf
#

