# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  76978 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  76979 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  76980 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  76981 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  76982 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  76983 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  76984 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  76985 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1115936 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1115937 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1115938 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1115939 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1115940 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1115941 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1115942 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1115943 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float     sum      -1    23.87    0.01    0.01    N/A    24.00    0.01    0.01    N/A
         256            64     float     sum      -1    25.24    0.01    0.02    N/A    24.42    0.01    0.02    N/A
         512           128     float     sum      -1    24.90    0.02    0.04    N/A    24.73    0.02    0.04    N/A
        1024           256     float     sum      -1    25.30    0.04    0.08    N/A    25.29    0.04    0.08    N/A
        2048           512     float     sum      -1    26.45    0.08    0.15    N/A    26.42    0.08    0.15    N/A
        4096          1024     float     sum      -1    28.14    0.15    0.27    N/A    28.25    0.15    0.27    N/A
        8192          2048     float     sum      -1    30.02    0.27    0.51    N/A    29.79    0.28    0.52    N/A
       16384          4096     float     sum      -1    30.64    0.53    1.00    N/A    30.47    0.54    1.01    N/A
       32768          8192     float     sum      -1    30.97    1.06    1.98    N/A    30.64    1.07    2.00    N/A
       65536         16384     float     sum      -1    31.27    2.10    3.93    N/A    31.22    2.10    3.94    N/A
      131072         32768     float     sum      -1    36.07    3.63    6.81    N/A    35.73    3.67    6.88    N/A
      262144         65536     float     sum      -1    45.31    5.79   10.85    N/A    44.77    5.86   10.98    N/A
      524288        131072     float     sum      -1    53.01    9.89   18.54    N/A    53.11    9.87   18.51    N/A
     1048576        262144     float     sum      -1    63.23   16.58   31.09    N/A    63.92   16.40   30.76    N/A
     2097152        524288     float     sum      -1    67.52   31.06   58.24    N/A    67.62   31.01   58.15    N/A
     4194304       1048576     float     sum      -1    76.99   54.48  102.15    N/A    77.92   53.83  100.93    N/A
     8388608       2097152     float     sum      -1    96.35   87.06  163.25    N/A    94.98   88.32  165.60    N/A
    16777216       4194304     float     sum      -1   133.87  125.32  234.98    N/A   133.73  125.45  235.22    N/A
    33554432       8388608     float     sum      -1   222.26  150.97  283.07    N/A   222.57  150.76  282.67    N/A
    67108864      16777216     float     sum      -1   351.44  190.95  358.04    N/A   358.00  187.45  351.48    N/A
   134217728      33554432     float     sum      -1   616.86  217.58  407.97    N/A   617.12  217.49  407.80    N/A
   268435456      67108864     float     sum      -1  1138.26  235.83  442.18    N/A  1138.68  235.74  442.02    N/A
   536870912     134217728     float     sum      -1  2179.77  246.30  461.81    N/A  2182.33  246.01  461.27    N/A
  1073741824     268435456     float     sum      -1  4261.12  251.99  472.47    N/A  4268.14  251.57  471.70    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 127.321 
#
# Collective test concluded: all_reduce_perf
#

