# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  90345 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  90346 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  90347 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  90348 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  90349 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  90350 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  90351 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  90352 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1129073 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1129074 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1129075 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1129076 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1129077 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1129078 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1129079 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1129080 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.03    0.00    0.00    N/A     0.00    0.00    0.00    N/A
         256             4     float    none      -1    30.72    0.01    0.01    N/A    30.51    0.01    0.01    N/A
         512             8     float    none      -1    30.55    0.02    0.02    N/A    30.42    0.02    0.02    N/A
        1024            16     float    none      -1    30.41    0.03    0.03    N/A    30.40    0.03    0.03    N/A
        2048            32     float    none      -1    30.57    0.07    0.06    N/A    30.51    0.07    0.06    N/A
        4096            64     float    none      -1    30.55    0.13    0.13    N/A    30.91    0.13    0.12    N/A
        8192           128     float    none      -1    30.62    0.27    0.25    N/A    30.73    0.27    0.25    N/A
       16384           256     float    none      -1    31.25    0.52    0.49    N/A    31.26    0.52    0.49    N/A
       32768           512     float    none      -1    32.64    1.00    0.94    N/A    32.75    1.00    0.94    N/A
       65536          1024     float    none      -1    32.40    2.02    1.90    N/A    32.59    2.01    1.89    N/A
      131072          2048     float    none      -1    35.12    3.73    3.50    N/A    34.98    3.75    3.51    N/A
      262144          4096     float    none      -1    41.07    6.38    5.98    N/A    40.53    6.47    6.06    N/A
      524288          8192     float    none      -1    49.86   10.51    9.86    N/A    49.69   10.55    9.89    N/A
     1048576         16384     float    none      -1    64.86   16.17   15.16    N/A    65.24   16.07   15.07    N/A
     2097152         32768     float    none      -1    94.40   22.22   20.83    N/A    92.97   22.56   21.15    N/A
     4194304         65536     float    none      -1   108.63   38.61   36.20    N/A   108.61   38.62   36.20    N/A
     8388608        131072     float    none      -1   157.91   53.12   49.80    N/A   154.77   54.20   50.81    N/A
    16777216        262144     float    none      -1   263.18   63.75   59.76    N/A   262.88   63.82   59.83    N/A
    33554432        524288     float    none      -1   442.56   75.82   71.08    N/A   440.88   76.11   71.35    N/A
    67108864       1048576     float    none      -1   795.80   84.33   79.06    N/A   795.01   84.41   79.14    N/A
   134217728       2097152     float    none      -1  1498.24   89.58   83.98    N/A  1497.43   89.63   84.03    N/A
   268435456       4194304     float    none      -1  2904.15   92.43   86.65    N/A  2902.32   92.49   86.71    N/A
   536870912       8388608     float    none      -1  5694.26   94.28   88.39    N/A  5697.30   94.23   88.34    N/A
  1073741824      16777216     float    none      -1  11271.2   95.26   89.31    N/A  11263.3   95.33   89.37    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 29.3473 
#
# Collective test concluded: alltoall_perf
#

