# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 106489 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 106490 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 106491 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 106492 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 106493 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 106494 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 106495 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 106496 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1144951 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1144952 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1144953 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1144954 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1144955 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1144956 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1144957 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1144958 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float    none       0     7.83    0.02    0.02    N/A     7.66    0.02    0.02    N/A
         256            64     float    none       0     7.68    0.03    0.03    N/A     7.62    0.03    0.03    N/A
         512           128     float    none       0     7.66    0.07    0.07    N/A     7.69    0.07    0.07    N/A
        1024           256     float    none       0     8.21    0.12    0.12    N/A     7.99    0.13    0.13    N/A
        2048           512     float    none       0     8.43    0.24    0.24    N/A     8.45    0.24    0.24    N/A
        4096          1024     float    none       0     8.81    0.46    0.46    N/A     8.79    0.47    0.47    N/A
        8192          2048     float    none       0    11.01    0.74    0.74    N/A    11.03    0.74    0.74    N/A
       16384          4096     float    none       0    12.80    1.28    1.28    N/A    12.78    1.28    1.28    N/A
       32768          8192     float    none       0    14.05    2.33    2.33    N/A    14.11    2.32    2.32    N/A
       65536         16384     float    none       0    21.91    2.99    2.99    N/A    21.95    2.99    2.99    N/A
      131072         32768     float    none       0    42.41    3.09    3.09    N/A    42.16    3.11    3.11    N/A
      262144         65536     float    none       0    53.07    4.94    4.94    N/A    52.98    4.95    4.95    N/A
      524288        131072     float    none       0    56.24    9.32    9.32    N/A    56.03    9.36    9.36    N/A
     1048576        262144     float    none       0    64.58   16.24   16.24    N/A    64.47   16.26   16.26    N/A
     2097152        524288     float    none       0    66.30   31.63   31.63    N/A    66.26   31.65   31.65    N/A
     4194304       1048576     float    none       0    88.48   47.41   47.41    N/A    88.47   47.41   47.41    N/A
     8388608       2097152     float    none       0   129.89   64.58   64.58    N/A   129.87   64.59   64.59    N/A
    16777216       4194304     float    none       0   166.23  100.93  100.93    N/A   166.23  100.93  100.93    N/A
    33554432       8388608     float    none       0   227.16  147.71  147.71    N/A   227.21  147.68  147.68    N/A
    67108864      16777216     float    none       0   347.06  193.37  193.37    N/A   346.46  193.70  193.70    N/A
   134217728      33554432     float    none       0   581.77  230.71  230.71    N/A   581.03  231.00  231.00    N/A
   268435456      67108864     float    none       0  1157.57  231.90  231.90    N/A  1162.05  231.00  231.00    N/A
   536870912     134217728     float    none       0  2034.46  263.89  263.89    N/A  2044.31  262.62  262.62    N/A
  1073741824     268435456     float    none       0  3789.61  283.34  283.34    N/A  3838.08  279.76  279.76    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 68.1177 
#
# Collective test concluded: broadcast_perf
#

