# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  73127 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  73127 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  73127 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  73127 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  73127 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  73127 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  73127 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  73127 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float     sum      -1     6.13    0.02    0.04    N/A     6.01    0.02    0.04    N/A
         256            64     float     sum      -1     5.77    0.04    0.08    N/A     5.78    0.04    0.08    N/A
         512           128     float     sum      -1     4.92    0.10    0.18    N/A     4.92    0.10    0.18    N/A
        1024           256     float     sum      -1     5.15    0.20    0.35    N/A     5.85    0.18    0.31    N/A
        2048           512     float     sum      -1     5.17    0.40    0.69    N/A     5.18    0.40    0.69    N/A
        4096          1024     float     sum      -1     5.25    0.78    1.37    N/A     5.30    0.77    1.35    N/A
        8192          2048     float     sum      -1     5.48    1.49    2.61    N/A     5.42    1.51    2.64    N/A
       16384          4096     float     sum      -1     5.54    2.96    5.18    N/A     5.54    2.96    5.18    N/A
       32768          8192     float     sum      -1     5.72    5.73   10.02    N/A     5.71    5.74   10.05    N/A
       65536         16384     float     sum      -1     5.96   10.99   19.23    N/A     5.88   11.15   19.52    N/A
      131072         32768     float     sum      -1     6.33   20.69   36.21    N/A     6.17   21.25   37.19    N/A
      262144         65536     float     sum      -1     6.90   38.00   66.51    N/A     6.78   38.68   67.69    N/A
      524288        131072     float     sum      -1     8.15   64.29  112.51    N/A     7.96   65.83  115.21    N/A
     1048576        262144     float     sum      -1    11.13   94.21  164.87    N/A    11.20   93.61  163.81    N/A
     2097152        524288     float     sum      -1    16.04  130.74  228.80    N/A    16.13  130.04  227.57    N/A
     4194304       1048576     float     sum      -1    22.02  190.48  333.33    N/A    22.17  189.15  331.01    N/A
     8388608       2097152     float     sum      -1    37.46  223.91  391.84    N/A    37.58  223.20  390.59    N/A
    16777216       4194304     float     sum      -1    68.16  246.16  430.78    N/A    68.28  245.71  430.00    N/A
    33554432       8388608     float     sum      -1   129.38  259.34  453.85    N/A   129.53  259.04  453.32    N/A
    67108864      16777216     float     sum      -1   251.83  266.49  466.35    N/A   252.20  266.10  465.67    N/A
   134217728      33554432     float     sum      -1   495.83  270.70  473.72    N/A   496.28  270.45  473.28    N/A
   268435456      67108864     float     sum      -1   982.90  273.10  477.93    N/A   983.62  272.91  477.59    N/A
   536870912     134217728     float     sum      -1  1953.45  274.83  480.96    N/A  1953.68  274.80  480.90    N/A
  1073741824     268435456     float     sum      -1  3895.30  275.65  482.39    N/A  3892.31  275.86  482.76    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 193.259 
#
# Collective test concluded: all_reduce_perf
#

