# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  87871 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  87871 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  87871 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  87871 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  87871 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  87871 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  87871 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  87871 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128             4     float    none      -1     6.17    0.02    0.02    N/A     6.02    0.02    0.02    N/A
         256             8     float    none      -1     5.77    0.04    0.04    N/A     5.66    0.05    0.04    N/A
         512            16     float    none      -1     5.70    0.09    0.08    N/A     5.62    0.09    0.08    N/A
        1024            32     float    none      -1     5.64    0.18    0.16    N/A     5.65    0.18    0.16    N/A
        2048            64     float    none      -1     5.62    0.36    0.32    N/A     5.63    0.36    0.32    N/A
        4096           128     float    none      -1     5.83    0.70    0.61    N/A     5.75    0.71    0.62    N/A
        8192           256     float    none      -1     5.73    1.43    1.25    N/A     5.72    1.43    1.25    N/A
       16384           512     float    none      -1     5.84    2.80    2.45    N/A     5.79    2.83    2.48    N/A
       32768          1024     float    none      -1     6.48    5.06    4.43    N/A     6.43    5.09    4.46    N/A
       65536          2048     float    none      -1     7.06    9.29    8.13    N/A     7.06    9.29    8.13    N/A
      131072          4096     float    none      -1     8.69   15.08   13.19    N/A     8.48   15.45   13.52    N/A
      262144          8192     float    none      -1    11.98   21.87   19.14    N/A    11.78   22.24   19.46    N/A
      524288         16384     float    none      -1    13.66   38.39   33.59    N/A    13.00   40.32   35.28    N/A
     1048576         32768     float    none      -1    14.68   71.44   62.51    N/A    14.75   71.08   62.20    N/A
     2097152         65536     float    none      -1    17.61  119.07  104.19    N/A    17.46  120.09  105.08    N/A
     4194304        131072     float    none      -1    23.37  179.50  157.06    N/A    23.05  182.00  159.25    N/A
     8388608        262144     float    none      -1    35.60  235.66  206.20    N/A    34.68  241.88  211.65    N/A
    16777216        524288     float    none      -1    58.86  285.03  249.40    N/A    57.57  291.41  254.99    N/A
    33554432       1048576     float    none      -1   109.52  306.38  268.08    N/A   104.27  321.79  281.57    N/A
    67108864       2097152     float    none      -1   195.42  343.42  300.49    N/A   193.37  347.05  303.67    N/A
   134217728       4194304     float    none      -1   373.76  359.10  314.22    N/A   369.87  362.88  317.52    N/A
   268435456       8388608     float    none      -1   724.28  370.62  324.29    N/A   716.68  374.55  327.73    N/A
   536870912      16777216     float    none      -1  1428.62  375.80  328.82    N/A  1412.95  379.96  332.47    N/A
  1073741824      33554432     float    none      -1  2775.40  386.88  338.52    N/A  2779.67  386.28  338.00    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 114.94 
#
# Collective test concluded: alltoall_perf
#

