# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1126666 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1126666 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1126666 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1126666 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1126666 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1126666 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1126666 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1126666 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128             4     float    none      -1     6.48    0.02    0.02    N/A     6.18    0.02    0.02    N/A
         256             8     float    none      -1     5.84    0.04    0.04    N/A     5.66    0.05    0.04    N/A
         512            16     float    none      -1     5.65    0.09    0.08    N/A     5.64    0.09    0.08    N/A
        1024            32     float    none      -1     5.63    0.18    0.16    N/A     5.65    0.18    0.16    N/A
        2048            64     float    none      -1     5.61    0.37    0.32    N/A     5.61    0.36    0.32    N/A
        4096           128     float    none      -1     5.71    0.72    0.63    N/A     5.64    0.73    0.64    N/A
        8192           256     float    none      -1     5.72    1.43    1.25    N/A     5.72    1.43    1.25    N/A
       16384           512     float    none      -1     5.82    2.81    2.46    N/A     5.81    2.82    2.47    N/A
       32768          1024     float    none      -1     6.46    5.07    4.44    N/A     6.45    5.08    4.45    N/A
       65536          2048     float    none      -1     7.08    9.26    8.10    N/A     7.09    9.25    8.09    N/A
      131072          4096     float    none      -1     8.58   15.27   13.37    N/A     8.53   15.37   13.45    N/A
      262144          8192     float    none      -1    12.04   21.76   19.04    N/A    11.80   22.22   19.44    N/A
      524288         16384     float    none      -1    13.68   38.32   33.53    N/A    13.06   40.13   35.11    N/A
     1048576         32768     float    none      -1    14.72   71.26   62.35    N/A    14.80   70.83   61.98    N/A
     2097152         65536     float    none      -1    17.63  118.96  104.09    N/A    17.48  119.96  104.96    N/A
     4194304        131072     float    none      -1    23.33  179.79  157.32    N/A    23.07  181.82  159.09    N/A
     8388608        262144     float    none      -1    35.49  236.38  206.83    N/A    34.59  242.49  212.18    N/A
    16777216        524288     float    none      -1    58.13  288.60  252.52    N/A    57.26  293.02  256.39    N/A
    33554432       1048576     float    none      -1   106.89  313.92  274.68    N/A   103.65  323.73  283.27    N/A
    67108864       2097152     float    none      -1   193.44  346.93  303.56    N/A   192.59  348.46  304.90    N/A
   134217728       4194304     float    none      -1   367.90  364.82  319.22    N/A   368.27  364.46  318.90    N/A
   268435456       8388608     float    none      -1   711.73  377.16  330.01    N/A   712.71  376.64  329.56    N/A
   536870912      16777216     float    none      -1  1402.46  382.81  334.96    N/A  1406.86  381.61  333.91    N/A
  1073741824      33554432     float    none      -1  2748.75  390.63  341.80    N/A  2757.27  389.42  340.74    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 115.879 
#
# Collective test concluded: alltoall_perf
#

