# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1140672 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1140672 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1140672 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1140672 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1140672 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1140672 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1140672 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1140672 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float    none       0     4.47    0.03    0.03    N/A     4.31    0.03    0.03    N/A
         256            64     float    none       0     4.27    0.06    0.06    N/A     4.02    0.06    0.06    N/A
         512           128     float    none       0     3.88    0.13    0.13    N/A     3.88    0.13    0.13    N/A
        1024           256     float    none       0     4.18    0.24    0.24    N/A     4.15    0.25    0.25    N/A
        2048           512     float    none       0     4.45    0.46    0.46    N/A     4.45    0.46    0.46    N/A
        4096          1024     float    none       0     5.37    0.76    0.76    N/A     5.33    0.77    0.77    N/A
        8192          2048     float    none       0     6.12    1.34    1.34    N/A     6.08    1.35    1.35    N/A
       16384          4096     float    none       0     6.65    2.46    2.46    N/A     6.63    2.47    2.47    N/A
       32768          8192     float    none       0     8.11    4.04    4.04    N/A     8.09    4.05    4.05    N/A
       65536         16384     float    none       0     8.35    7.85    7.85    N/A     8.31    7.89    7.89    N/A
      131072         32768     float    none       0     8.43   15.55   15.55    N/A     8.43   15.55   15.55    N/A
      262144         65536     float    none       0     8.87   29.54   29.54    N/A     8.70   30.14   30.14    N/A
      524288        131072     float    none       0     8.95   58.55   58.55    N/A     8.83   59.41   59.41    N/A
     1048576        262144     float    none       0    11.93   87.93   87.93    N/A    11.94   87.81   87.81    N/A
     2097152        524288     float    none       0    36.06   58.16   58.16    N/A    35.57   58.96   58.96    N/A
     4194304       1048576     float    none       0    51.94   80.76   80.76    N/A    50.47   83.11   83.11    N/A
     8388608       2097152     float    none       0    83.76  100.15  100.15    N/A    80.79  103.83  103.83    N/A
    16777216       4194304     float    none       0   102.72  163.33  163.33    N/A    99.18  169.17  169.17    N/A
    33554432       8388608     float    none       0   140.51  238.81  238.81    N/A   141.83  236.59  236.59    N/A
    67108864      16777216     float    none       0   238.52  281.36  281.36    N/A   238.59  281.27  281.27    N/A
   134217728      33554432     float    none       0   423.57  316.87  316.87    N/A   430.15  312.03  312.03    N/A
   268435456      67108864     float    none       0   805.25  333.35  333.35    N/A   806.91  332.67  332.67    N/A
   536870912     134217728     float    none       0  1565.89  342.85  342.85    N/A  1548.22  346.77  346.77    N/A
  1073741824     268435456     float    none       0  3089.88  347.50  347.50    N/A  3017.35  355.86  355.86    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 103.39 
#
# Collective test concluded: broadcast_perf
#

