# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  81312 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  81313 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  81314 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  81315 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  81316 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  81317 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  81318 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  81319 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1120196 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1120197 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1120198 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1120199 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1120200 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1120201 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1120202 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1120203 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float     sum      -1    23.97    0.01    0.01    N/A    23.81    0.01    0.01    N/A
         256            64     float     sum      -1    25.20    0.01    0.02    N/A    24.25    0.01    0.02    N/A
         512           128     float     sum      -1    24.96    0.02    0.04    N/A    24.59    0.02    0.04    N/A
        1024           256     float     sum      -1    25.19    0.04    0.08    N/A    25.21    0.04    0.08    N/A
        2048           512     float     sum      -1    26.43    0.08    0.15    N/A    26.41    0.08    0.15    N/A
        4096          1024     float     sum      -1    28.39    0.14    0.27    N/A    28.31    0.14    0.27    N/A
        8192          2048     float     sum      -1    29.89    0.27    0.51    N/A    29.66    0.28    0.52    N/A
       16384          4096     float     sum      -1    31.10    0.53    0.99    N/A    30.86    0.53    1.00    N/A
       32768          8192     float     sum      -1    31.01    1.06    1.98    N/A    30.79    1.06    2.00    N/A
       65536         16384     float     sum      -1    31.35    2.09    3.92    N/A    31.40    2.09    3.91    N/A
      131072         32768     float     sum      -1    36.14    3.63    6.80    N/A    35.88    3.65    6.85    N/A
      262144         65536     float     sum      -1    45.38    5.78   10.83    N/A    44.88    5.84   10.95    N/A
      524288        131072     float     sum      -1    52.77    9.94   18.63    N/A    52.79    9.93   18.62    N/A
     1048576        262144     float     sum      -1    62.67   16.73   31.37    N/A    62.80   16.70   31.31    N/A
     2097152        524288     float     sum      -1    82.25   25.50   47.81    N/A    82.28   25.49   47.79    N/A
     4194304       1048576     float     sum      -1    95.89   43.74   82.02    N/A    95.66   43.85   82.21    N/A
     8388608       2097152     float     sum      -1   129.50   64.78  121.46    N/A   128.42   65.32  122.48    N/A
    16777216       4194304     float     sum      -1   256.03   65.53  122.87    N/A   254.42   65.94  123.64    N/A
    33554432       8388608     float     sum      -1   324.85  103.29  193.67    N/A   324.52  103.40  193.87    N/A
    67108864      16777216     float     sum      -1   519.22  129.25  242.34    N/A   519.53  129.17  242.20    N/A
   134217728      33554432     float     sum      -1   984.95  136.27  255.50    N/A   996.05  134.75  252.66    N/A
   268435456      67108864     float     sum      -1  1665.24  161.20  302.25    N/A  1686.68  159.15  298.41    N/A
   536870912     134217728     float     sum      -1  2978.14  180.27  338.01    N/A  3013.89  178.13  334.00    N/A
  1073741824     268435456     float     sum      -1  5930.05  181.07  339.50    N/A  5949.92  180.46  338.37    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 88.1741 
#
# Collective test concluded: all_reduce_perf
#

