# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  95410 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  95411 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  95412 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  95413 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  95414 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  95415 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  95416 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  95417 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1134044 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1134045 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1134046 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1134047 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1134048 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1134049 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1134050 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1134051 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.03    0.00    0.00    N/A     0.00    0.00    0.00    N/A
         256             4     float    none      -1    31.69    0.01    0.01    N/A    30.78    0.01    0.01    N/A
         512             8     float    none      -1    30.63    0.02    0.02    N/A    30.67    0.02    0.02    N/A
        1024            16     float    none      -1    30.72    0.03    0.03    N/A    30.82    0.03    0.03    N/A
        2048            32     float    none      -1    30.70    0.07    0.06    N/A    30.71    0.07    0.06    N/A
        4096            64     float    none      -1    30.75    0.13    0.12    N/A    30.76    0.13    0.12    N/A
        8192           128     float    none      -1    30.72    0.27    0.25    N/A    30.78    0.27    0.25    N/A
       16384           256     float    none      -1    31.44    0.52    0.49    N/A    31.48    0.52    0.49    N/A
       32768           512     float    none      -1    32.82    1.00    0.94    N/A    33.00    0.99    0.93    N/A
       65536          1024     float    none      -1    32.71    2.00    1.88    N/A    33.11    1.98    1.86    N/A
      131072          2048     float    none      -1    35.39    3.70    3.47    N/A    35.64    3.68    3.45    N/A
      262144          4096     float    none      -1    41.04    6.39    5.99    N/A    40.64    6.45    6.05    N/A
      524288          8192     float    none      -1    50.04   10.48    9.82    N/A    49.46   10.60    9.94    N/A
     1048576         16384     float    none      -1    65.71   15.96   14.96    N/A    65.30   16.06   15.05    N/A
     2097152         32768     float    none      -1    92.87   22.58   21.17    N/A    91.40   22.94   21.51    N/A
     4194304         65536     float    none      -1   108.57   38.63   36.22    N/A   109.07   38.45   36.05    N/A
     8388608        131072     float    none      -1   159.07   52.73   49.44    N/A   154.33   54.36   50.96    N/A
    16777216        262144     float    none      -1   263.26   63.73   59.74    N/A   262.63   63.88   59.89    N/A
    33554432        524288     float    none      -1   442.63   75.81   71.07    N/A   441.42   76.01   71.26    N/A
    67108864       1048576     float    none      -1   795.94   84.31   79.04    N/A   794.68   84.45   79.17    N/A
   134217728       2097152     float    none      -1  1500.53   89.45   83.86    N/A  1499.03   89.54   83.94    N/A
   268435456       4194304     float    none      -1  2902.64   92.48   86.70    N/A  2901.35   92.52   86.74    N/A
   536870912       8388608     float    none      -1  5696.04   94.25   88.36    N/A  5691.37   94.33   88.43    N/A
  1073741824      16777216     float    none      -1  11268.0   95.29   89.34    N/A  11268.7   95.29   89.33    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 29.3441 
#
# Collective test concluded: alltoall_perf
#

