# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 109463 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 109464 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 109465 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 109466 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 109467 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 109468 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 109469 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 109470 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1147862 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1147863 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1147864 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1147865 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1147866 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1147867 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1147868 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1147869 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float    none       0     7.93    0.02    0.02    N/A     7.83    0.02    0.02    N/A
         256            64     float    none       0     7.80    0.03    0.03    N/A     7.76    0.03    0.03    N/A
         512           128     float    none       0     7.79    0.07    0.07    N/A     7.76    0.07    0.07    N/A
        1024           256     float    none       0     8.07    0.13    0.13    N/A     8.06    0.13    0.13    N/A
        2048           512     float    none       0     8.52    0.24    0.24    N/A     8.48    0.24    0.24    N/A
        4096          1024     float    none       0     9.03    0.45    0.45    N/A     8.98    0.46    0.46    N/A
        8192          2048     float    none       0    11.09    0.74    0.74    N/A    11.10    0.74    0.74    N/A
       16384          4096     float    none       0    12.85    1.27    1.27    N/A    12.82    1.28    1.28    N/A
       32768          8192     float    none       0    13.76    2.38    2.38    N/A    13.74    2.38    2.38    N/A
       65536         16384     float    none       0    21.47    3.05    3.05    N/A    21.46    3.05    3.05    N/A
      131072         32768     float    none       0    42.78    3.06    3.06    N/A    42.43    3.09    3.09    N/A
      262144         65536     float    none       0    52.91    4.95    4.95    N/A    52.72    4.97    4.97    N/A
      524288        131072     float    none       0    56.42    9.29    9.29    N/A    56.33    9.31    9.31    N/A
     1048576        262144     float    none       0    65.06   16.12   16.12    N/A    64.92   16.15   16.15    N/A
     2097152        524288     float    none       0    66.29   31.63   31.63    N/A    66.29   31.64   31.64    N/A
     4194304       1048576     float    none       0    88.72   47.28   47.28    N/A    88.36   47.47   47.47    N/A
     8388608       2097152     float    none       0   129.81   64.62   64.62    N/A   131.04   64.02   64.02    N/A
    16777216       4194304     float    none       0   166.13  100.99  100.99    N/A   166.10  101.00  101.00    N/A
    33554432       8388608     float    none       0   227.80  147.30  147.30    N/A   233.14  143.93  143.93    N/A
    67108864      16777216     float    none       0   346.64  193.60  193.60    N/A   348.18  192.74  192.74    N/A
   134217728      33554432     float    none       0   581.52  230.80  230.80    N/A   581.19  230.94  230.94    N/A
   268435456      67108864     float    none       0  1156.89  232.03  232.03    N/A  1159.36  231.54  231.54    N/A
   536870912     134217728     float    none       0  2035.84  263.71  263.71    N/A  2044.76  262.56  262.56    N/A
  1073741824     268435456     float    none       0  3790.70  283.26  283.26    N/A  3831.29  280.26  280.26    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 68.0212 
#
# Collective test concluded: broadcast_perf
#

