# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1119808 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1119808 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1119808 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1119808 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1119808 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1119808 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1119808 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1119808 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float     sum      -1     5.39    0.02    0.04    N/A     5.26    0.02    0.04    N/A
         256            64     float     sum      -1     5.19    0.05    0.09    N/A     5.12    0.05    0.09    N/A
         512           128     float     sum      -1     4.60    0.11    0.19    N/A     4.59    0.11    0.20    N/A
        1024           256     float     sum      -1     5.02    0.20    0.36    N/A     4.99    0.21    0.36    N/A
        2048           512     float     sum      -1     5.15    0.40    0.70    N/A     5.14    0.40    0.70    N/A
        4096          1024     float     sum      -1     5.45    0.75    1.32    N/A     5.29    0.77    1.35    N/A
        8192          2048     float     sum      -1     5.67    1.45    2.53    N/A     5.64    1.45    2.54    N/A
       16384          4096     float     sum      -1     6.06    2.70    4.73    N/A     6.06    2.71    4.73    N/A
       32768          8192     float     sum      -1     8.53    3.84    6.72    N/A     8.43    3.89    6.80    N/A
       65536         16384     float     sum      -1     8.86    7.40   12.95    N/A     8.78    7.46   13.06    N/A
      131072         32768     float     sum      -1     9.17   14.29   25.01    N/A     9.10   14.41   25.21    N/A
      262144         65536     float     sum      -1    11.46   22.87   40.03    N/A    10.84   24.18   42.32    N/A
      524288        131072     float     sum      -1    18.49   28.35   49.62    N/A    17.05   30.74   53.80    N/A
     1048576        262144     float     sum      -1    20.54   51.06   89.36    N/A    20.46   51.25   89.68    N/A
     2097152        524288     float     sum      -1    24.26   86.43  151.25    N/A    24.43   85.83  150.20    N/A
     4194304       1048576     float     sum      -1    37.67  111.36  194.87    N/A    38.08  110.15  192.77    N/A
     8388608       2097152     float     sum      -1    65.23  128.60  225.05    N/A    65.45  128.18  224.31    N/A
    16777216       4194304     float     sum      -1   115.01  145.88  255.28    N/A   114.53  146.49  256.36    N/A
    33554432       8388608     float     sum      -1   218.70  153.43  268.50    N/A   216.03  155.32  271.81    N/A
    67108864      16777216     float     sum      -1   424.79  157.98  276.47    N/A   418.70  160.28  280.49    N/A
   134217728      33554432     float     sum      -1   830.66  161.58  282.77    N/A   818.99  163.88  286.79    N/A
   268435456      67108864     float     sum      -1  1641.30  163.55  286.21    N/A  1618.56  165.85  290.23    N/A
   536870912     134217728     float     sum      -1  3271.25  164.12  287.21    N/A  3222.80  166.59  291.52    N/A
  1073741824     268435456     float     sum      -1  6532.64  164.37  287.64    N/A  6428.55  167.03  292.30    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 115.137 
#
# Collective test concluded: all_reduce_perf
#

