# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  94596 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid  94596 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid  94596 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid  94596 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid  94596 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid  94596 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid  94596 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid  94596 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128             4     float    none      -1     6.07    0.02    0.02    N/A     6.14    0.02    0.02    N/A
         256             8     float    none      -1     5.91    0.04    0.04    N/A     5.73    0.04    0.04    N/A
         512            16     float    none      -1     5.69    0.09    0.08    N/A     5.73    0.09    0.08    N/A
        1024            32     float    none      -1     5.75    0.18    0.16    N/A     5.69    0.18    0.16    N/A
        2048            64     float    none      -1     5.69    0.36    0.31    N/A     5.72    0.36    0.31    N/A
        4096           128     float    none      -1     5.73    0.71    0.63    N/A     5.72    0.72    0.63    N/A
        8192           256     float    none      -1     5.77    1.42    1.24    N/A     5.79    1.42    1.24    N/A
       16384           512     float    none      -1     5.90    2.77    2.43    N/A     5.81    2.82    2.47    N/A
       32768          1024     float    none      -1     6.48    5.06    4.43    N/A     6.47    5.07    4.43    N/A
       65536          2048     float    none      -1     7.09    9.24    8.09    N/A     7.08    9.26    8.10    N/A
      131072          4096     float    none      -1     8.59   15.27   13.36    N/A     8.54   15.36   13.44    N/A
      262144          8192     float    none      -1    11.98   21.88   19.14    N/A    11.73   22.34   19.55    N/A
      524288         16384     float    none      -1    13.65   38.40   33.60    N/A    13.01   40.31   35.27    N/A
     1048576         32768     float    none      -1    14.73   71.17   62.27    N/A    14.75   71.07   62.19    N/A
     2097152         65536     float    none      -1    17.69  118.53  103.71    N/A    17.44  120.27  105.23    N/A
     4194304        131072     float    none      -1    23.45  178.88  156.52    N/A    23.15  181.16  158.52    N/A
     8388608        262144     float    none      -1    35.67  235.15  205.75    N/A    34.75  241.40  211.23    N/A
    16777216        524288     float    none      -1    59.06  284.07  248.56    N/A    57.65  291.04  254.66    N/A
    33554432       1048576     float    none      -1   109.88  305.37  267.19    N/A   104.16  322.14  281.87    N/A
    67108864       2097152     float    none      -1   198.26  338.49  296.18    N/A   193.41  346.98  303.61    N/A
   134217728       4194304     float    none      -1   379.79  353.40  309.22    N/A   369.78  362.97  317.59    N/A
   268435456       8388608     float    none      -1   737.22  364.12  318.60    N/A   716.75  374.52  327.70    N/A
   536870912      16777216     float    none      -1  1452.63  369.59  323.39    N/A  1413.88  379.71  332.25    N/A
  1073741824      33554432     float    none      -1  2713.23  395.74  346.28    N/A  2719.52  394.83  345.47    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 114.734 
#
# Collective test concluded: alltoall_perf
#

