# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1133665 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1133665 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1133665 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1133665 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1133665 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1133665 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1133665 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1133665 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128             4     float    none      -1     6.22    0.02    0.02    N/A     6.06    0.02    0.02    N/A
         256             8     float    none      -1     5.81    0.04    0.04    N/A     5.66    0.05    0.04    N/A
         512            16     float    none      -1     5.66    0.09    0.08    N/A     5.64    0.09    0.08    N/A
        1024            32     float    none      -1     5.67    0.18    0.16    N/A     5.75    0.18    0.16    N/A
        2048            64     float    none      -1     5.64    0.36    0.32    N/A     5.63    0.36    0.32    N/A
        4096           128     float    none      -1     5.67    0.72    0.63    N/A     5.65    0.72    0.63    N/A
        8192           256     float    none      -1     5.75    1.42    1.25    N/A     5.74    1.43    1.25    N/A
       16384           512     float    none      -1     5.83    2.81    2.46    N/A     5.80    2.83    2.47    N/A
       32768          1024     float    none      -1     6.47    5.06    4.43    N/A     6.45    5.08    4.44    N/A
       65536          2048     float    none      -1     7.07    9.26    8.11    N/A     7.07    9.28    8.12    N/A
      131072          4096     float    none      -1     8.60   15.25   13.34    N/A     8.54   15.35   13.43    N/A
      262144          8192     float    none      -1    11.98   21.89   19.15    N/A    11.73   22.34   19.55    N/A
      524288         16384     float    none      -1    13.66   38.38   33.59    N/A    12.99   40.36   35.31    N/A
     1048576         32768     float    none      -1    14.72   71.23   62.32    N/A    14.77   70.99   62.12    N/A
     2097152         65536     float    none      -1    17.65  118.85  103.99    N/A    17.46  120.09  105.07    N/A
     4194304        131072     float    none      -1    23.36  179.57  157.13    N/A    23.10  181.57  158.87    N/A
     8388608        262144     float    none      -1    35.55  235.97  206.47    N/A    34.65  242.08  211.82    N/A
    16777216        524288     float    none      -1    58.32  287.66  251.70    N/A    57.36  292.48  255.92    N/A
    33554432       1048576     float    none      -1   107.40  312.41  273.36    N/A   104.73  320.40  280.35    N/A
    67108864       2097152     float    none      -1   193.47  346.87  303.51    N/A   193.07  347.60  304.15    N/A
   134217728       4194304     float    none      -1   368.96  363.78  318.31    N/A   368.55  364.17  318.65    N/A
   268435456       8388608     float    none      -1   712.97  376.50  329.44    N/A   712.77  376.61  329.53    N/A
   536870912      16777216     float    none      -1  1404.78  382.17  334.40    N/A  1405.98  381.85  334.12    N/A
  1073741824      33554432     float    none      -1  2740.02  391.87  342.89    N/A  2748.49  390.67  341.83    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 115.737 
#
# Collective test concluded: alltoall_perf
#

