# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 108648 on h200-bar-202-127 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 108648 on h200-bar-202-127 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 108648 on h200-bar-202-127 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 108648 on h200-bar-202-127 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 108648 on h200-bar-202-127 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 108648 on h200-bar-202-127 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 108648 on h200-bar-202-127 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 108648 on h200-bar-202-127 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float    none       0     4.59    0.03    0.03    N/A     4.44    0.03    0.03    N/A
         256            64     float    none       0     4.38    0.06    0.06    N/A     4.14    0.06    0.06    N/A
         512           128     float    none       0     4.05    0.13    0.13    N/A     4.02    0.13    0.13    N/A
        1024           256     float    none       0     4.30    0.24    0.24    N/A     4.30    0.24    0.24    N/A
        2048           512     float    none       0     4.59    0.45    0.45    N/A     4.57    0.45    0.45    N/A
        4096          1024     float    none       0     5.45    0.75    0.75    N/A     5.41    0.76    0.76    N/A
        8192          2048     float    none       0     6.15    1.33    1.33    N/A     6.14    1.33    1.33    N/A
       16384          4096     float    none       0     6.63    2.47    2.47    N/A     6.65    2.46    2.46    N/A
       32768          8192     float    none       0     8.16    4.01    4.01    N/A     8.16    4.01    4.01    N/A
       65536         16384     float    none       0     8.31    7.89    7.89    N/A     8.28    7.91    7.91    N/A
      131072         32768     float    none       0     8.49   15.43   15.43    N/A     8.49   15.44   15.44    N/A
      262144         65536     float    none       0     8.80   29.78   29.78    N/A     8.61   30.44   30.44    N/A
      524288        131072     float    none       0     8.97   58.45   58.45    N/A     8.88   59.05   59.05    N/A
     1048576        262144     float    none       0    11.94   87.84   87.84    N/A    11.96   87.70   87.70    N/A
     2097152        524288     float    none       0    36.21   57.91   57.91    N/A    35.73   58.70   58.70    N/A
     4194304       1048576     float    none       0    52.05   80.59   80.59    N/A    50.51   83.04   83.04    N/A
     8388608       2097152     float    none       0    83.91   99.97   99.97    N/A    80.81  103.80  103.80    N/A
    16777216       4194304     float    none       0   103.28  162.45  162.45    N/A    99.47  168.67  168.67    N/A
    33554432       8388608     float    none       0   141.77  236.69  236.69    N/A   143.17  234.36  234.36    N/A
    67108864      16777216     float    none       0   241.06  278.39  278.39    N/A   241.06  278.39  278.39    N/A
   134217728      33554432     float    none       0   423.54  316.89  316.89    N/A   431.76  310.86  310.86    N/A
   268435456      67108864     float    none       0   804.86  333.52  333.52    N/A   809.77  331.50  331.50    N/A
   536870912     134217728     float    none       0  1568.86  342.21  342.21    N/A  1547.96  346.83  346.83    N/A
  1073741824     268435456     float    none       0  3090.56  347.43  347.43    N/A  3016.88  355.91  355.91    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 103.062 
#
# Collective test concluded: broadcast_perf
#

