# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 128 maxBytes 1073741824 step: 2(factor) warmup iters: 50 iters: 100 agg iters: 1 validation: 0 graph: 10 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1867413 on h200-bar-196-183 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1867414 on h200-bar-196-183 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1867415 on h200-bar-196-183 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1867416 on h200-bar-196-183 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1867417 on h200-bar-196-183 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1867418 on h200-bar-196-183 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1867419 on h200-bar-196-183 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1867420 on h200-bar-196-183 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 3518326 on h200-bar-196-185 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 3518327 on h200-bar-196-185 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 3518328 on h200-bar-196-185 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 3518329 on h200-bar-196-185 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 3518330 on h200-bar-196-185 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 3518331 on h200-bar-196-185 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 3518332 on h200-bar-196-185 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 3518333 on h200-bar-196-185 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
         128            32     float     sum      -1    39.85    0.00    0.01    N/A    39.71    0.00    0.01    N/A
         256            64     float     sum      -1    43.93    0.01    0.01    N/A    43.30    0.01    0.01    N/A
         512           128     float     sum      -1    43.51    0.01    0.02    N/A    44.04    0.01    0.02    N/A
        1024           256     float     sum      -1    43.96    0.02    0.04    N/A    43.76    0.02    0.04    N/A
        2048           512     float     sum      -1    46.34    0.04    0.08    N/A    44.33    0.05    0.09    N/A
        4096          1024     float     sum      -1    44.45    0.09    0.17    N/A    44.28    0.09    0.17    N/A
        8192          2048     float     sum      -1    45.08    0.18    0.34    N/A    44.91    0.18    0.34    N/A
       16384          4096     float     sum      -1    46.08    0.36    0.67    N/A    45.99    0.36    0.67    N/A
       32768          8192     float     sum      -1    48.60    0.67    1.26    N/A    48.52    0.68    1.27    N/A
       65536         16384     float     sum      -1    54.10    1.21    2.27    N/A    52.91    1.24    2.32    N/A
      131072         32768     float     sum      -1    60.06    2.18    4.09    N/A    59.98    2.19    4.10    N/A
      262144         65536     float     sum      -1    61.39    4.27    8.01    N/A    60.56    4.33    8.12    N/A
      524288        131072     float     sum      -1    68.31    7.67   14.39    N/A    67.32    7.79   14.60    N/A
     1048576        262144     float     sum      -1   106.15    9.88   18.52    N/A   104.81   10.01   18.76    N/A
     2097152        524288     float     sum      -1   145.45   14.42   27.03    N/A   145.44   14.42   27.04    N/A
     4194304       1048576     float     sum      -1   157.40   26.65   49.97    N/A   157.36   26.65   49.98    N/A
     8388608       2097152     float     sum      -1   185.29   45.27   84.88    N/A   185.20   45.30   84.93    N/A
    16777216       4194304     float     sum      -1   256.71   65.35  122.54    N/A   255.36   65.70  123.19    N/A
    33554432       8388608     float     sum      -1   325.91  102.96  193.04    N/A   325.60  103.05  193.22    N/A
    67108864      16777216     float     sum      -1   519.65  129.14  242.14    N/A   519.29  129.23  242.31    N/A
   134217728      33554432     float     sum      -1   984.26  136.36  255.68    N/A   994.24  134.99  253.12    N/A
   268435456      67108864     float     sum      -1  1666.61  161.07  302.00    N/A  1683.85  159.42  298.91    N/A
   536870912     134217728     float     sum      -1  2986.91  179.74  337.01    N/A  3011.21  178.29  334.29    N/A
  1073741824     268435456     float     sum      -1  5953.95  180.34  338.14    N/A  5943.58  180.66  338.73    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 83.3034 
#
# Collective test concluded: all_reduce_perf
#

