Runtime options after parsing command line arguments 
min_size: 128, max_size: 268435456, step_factor: 2, iterations: 10, warmup iterations: 3, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 1, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     sum       t         19.100800         0.007         0.012       
256         64        int32     sum       t         26.864001         0.010         0.017       
512         128       int32     sum       t         44.220799         0.012         0.020       
1024        256       int32     sum       t         76.041597         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     prod      t         18.755201         0.007         0.012       
256         64        int32     prod      t         26.803201         0.010         0.017       
512         128       int32     prod      t         43.302399         0.012         0.021       
1024        256       int32     prod      t         76.032001         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     and       t         18.710400         0.007         0.012       
256         64        int32     and       t         26.924801         0.010         0.017       
512         128       int32     and       t         43.292800         0.012         0.021       
1024        256       int32     and       t         76.041597         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     or        t         19.574399         0.007         0.011       
256         64        int32     or        t         26.950401         0.009         0.017       
512         128       int32     or        t         43.404800         0.012         0.021       
1024        256       int32     or        t         76.041597         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     xor       t         18.825600         0.007         0.012       
256         64        int32     xor       t         26.870400         0.010         0.017       
512         128       int32     xor       t         43.375999         0.012         0.021       
1024        256       int32     xor       t         76.102400         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     min       t         18.710400         0.007         0.012       
256         64        int32     min       t         26.905599         0.010         0.017       
512         128       int32     min       t         43.215999         0.012         0.021       
1024        256       int32     min       t         76.047999         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     max       t         18.758400         0.007         0.012       
256         64        int32     max       t         26.822400         0.010         0.017       
512         128       int32     max       t         43.334401         0.012         0.021       
1024        256       int32     max       t         75.993598         0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     sum       t         16.316800         0.008         0.014       
256         32        int64     sum       t         22.857600         0.011         0.020       
512         64        int64     sum       t         34.310400         0.015         0.026       
1024        128       int64     sum       t         58.032000         0.018         0.031       
2048        256       int64     sum       t         107.936001        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     prod      t         16.633600         0.008         0.013       
256         32        int64     prod      t         22.880000         0.011         0.020       
512         64        int64     prod      t         35.036799         0.015         0.026       
1024        128       int64     prod      t         58.809602         0.017         0.030       
2048        256       int64     prod      t         109.686399        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     and       t         16.336000         0.008         0.014       
256         32        int64     and       t         21.984001         0.012         0.020       
512         64        int64     and       t         33.427200         0.015         0.027       
1024        128       int64     and       t         57.142401         0.018         0.031       
2048        256       int64     and       t         105.574405        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     or        t         16.633600         0.008         0.013       
256         32        int64     or        t         21.958400         0.012         0.020       
512         64        int64     or        t         33.481601         0.015         0.027       
1024        128       int64     or        t         57.238400         0.018         0.031       
2048        256       int64     or        t         105.606401        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     xor       t         16.256000         0.008         0.014       
256         32        int64     xor       t         21.872000         0.012         0.020       
512         64        int64     xor       t         33.475199         0.015         0.027       
1024        128       int64     xor       t         57.116801         0.018         0.031       
2048        256       int64     xor       t         105.539203        0.019         0.034       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     min       t         16.265599         0.008         0.014       
256         32        int64     min       t         22.864000         0.011         0.020       
512         64        int64     min       t         35.036799         0.015         0.026       
1024        128       int64     min       t         58.880001         0.017         0.030       
2048        256       int64     min       t         110.470402        0.019         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     max       t         16.304000         0.008         0.014       
256         32        int64     max       t         22.835200         0.011         0.020       
512         64        int64     max       t         35.081601         0.015         0.026       
1024        128       int64     max       t         58.790398         0.017         0.030       
2048        256       int64     max       t         109.673595        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         32        int32     sum       w         12.108800         0.011         0.018       
256         64        int32     sum       w         12.976000         0.020         0.035       
512         128       int32     sum       w         14.566401         0.035         0.062       
1024        256       int32     sum       w         18.752000         0.055         0.096       
2048        512       int32     sum       w         26.966399         0.076         0.133       
4096        1024      int32     sum       w         41.679999         0.098         0.172       
8192        2048      int32     sum       w         72.707200         0.113         0.197       
#device_reduction
