# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1360979 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1360980 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1360981 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1360982 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1360983 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1360984 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1360985 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1360986 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1386057 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1386058 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1386059 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1386060 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1386061 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1386062 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1386063 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1386064 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    29.81    0.00    0.00       0    29.34    0.00    0.00       0
           8             2     float     sum      -1    29.26    0.00    0.00       0    29.26    0.00    0.00       0
          16             4     float     sum      -1    29.27    0.00    0.00       0    29.34    0.00    0.00       0
          32             8     float     sum      -1    29.51    0.00    0.00       0    29.48    0.00    0.00       0
          64            16     float     sum      -1    29.81    0.00    0.00       0    29.79    0.00    0.00       0
         128            32     float     sum      -1    30.16    0.00    0.01       0    30.02    0.00    0.01       0
         256            64     float     sum      -1    30.49    0.01    0.02       0    30.49    0.01    0.02       0
         512           128     float     sum      -1    30.89    0.02    0.03       0    30.84    0.02    0.03       0
        1024           256     float     sum      -1    31.53    0.03    0.06       0    31.39    0.03    0.06       0
        2048           512     float     sum      -1    32.83    0.06    0.12       0    32.70    0.06    0.12       0
        4096          1024     float     sum      -1    34.91    0.12    0.22       0    34.30    0.12    0.22       0
        8192          2048     float     sum      -1    36.03    0.23    0.43       0    35.28    0.23    0.44       0
       16384          4096     float     sum      -1    36.76    0.45    0.84       0    36.23    0.45    0.85       0
       32768          8192     float     sum      -1    37.01    0.89    1.66       0    36.54    0.90    1.68       0
       65536         16384     float     sum      -1    37.23    1.76    3.30       0    36.75    1.78    3.34       0
      131072         32768     float     sum      -1    42.38    3.09    5.80       0    41.33    3.17    5.95       0
      262144         65536     float     sum      -1    50.79    5.16    9.68       0    50.45    5.20    9.74       0
      524288        131072     float     sum      -1    68.78    7.62   14.29       0    68.82    7.62   14.28       0
     1048576        262144     float     sum      -1    89.32   11.74   22.01       0    89.17   11.76   22.05       0
     2097152        524288     float     sum      -1   103.54   20.26   37.98       0    89.80   23.35   43.79       0
     4194304       1048576     float     sum      -1   108.65   38.60   72.38       0   108.05   38.82   72.79       0
     8388608       2097152     float     sum      -1   149.10   56.26  105.49       0   148.24   56.59  106.10       0
    16777216       4194304     float     sum      -1   197.10   85.12  159.60       0   195.51   85.81  160.90       0
    33554432       8388608     float     sum      -1   260.27  128.92  241.73       0   260.32  128.90  241.68       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 28.327 
#
# Collective test concluded: all_reduce_perf
#

