# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1380612 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1380613 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1380614 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1380615 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1380616 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1380617 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1380618 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1380619 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1405451 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1405452 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1405453 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1405454 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1405455 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1405456 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1405457 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1405458 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.14    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
         256             4     float    none      -1    39.90    0.01    0.01       0    39.51    0.01    0.01    N/A
         512             8     float    none      -1    39.10    0.01    0.01       0    39.38    0.01    0.01    N/A
        1024            16     float    none      -1    39.31    0.03    0.02       0    39.37    0.03    0.02    N/A
        2048            32     float    none      -1    40.30    0.05    0.05       0    38.90    0.05    0.05    N/A
        4096            64     float    none      -1    39.18    0.10    0.10       0    39.12    0.10    0.10    N/A
        8192           128     float    none      -1    39.04    0.21    0.20       0    38.93    0.21    0.20    N/A
       16384           256     float    none      -1    40.01    0.41    0.38       0    39.72    0.41    0.39    N/A
       32768           512     float    none      -1    41.40    0.79    0.74       0    41.00    0.80    0.75    N/A
       65536          1024     float    none      -1    41.05    1.60    1.50       0    40.88    1.60    1.50    N/A
      131072          2048     float    none      -1    43.87    2.99    2.80       0    43.43    3.02    2.83    N/A
      262144          4096     float    none      -1    49.44    5.30    4.97       0    49.43    5.30    4.97    N/A
      524288          8192     float    none      -1    58.34    8.99    8.43       0    58.50    8.96    8.40    N/A
     1048576         16384     float    none      -1    82.64   12.69   11.90       0   125.83    8.33    7.81    N/A
     2097152         32768     float    none      -1   105.87   19.81   18.57       0   105.11   19.95   18.70    N/A
     4194304         65536     float    none      -1   126.61   33.13   31.06       0   125.35   33.46   31.37    N/A
     8388608        131072     float    none      -1   172.77   48.55   45.52       0   172.82   48.54   45.51    N/A
    16777216        262144     float    none      -1   280.90   59.73   55.99       0   278.61   60.22   56.45    N/A
    33554432        524288     float    none      -1   466.85   71.87   67.38       0   465.03   72.15   67.65    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 10.3406 
#
# Collective test concluded: alltoall_perf
#

