# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1415679 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1415679 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1415679 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1415679 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1415679 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1415679 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1415679 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1415679 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.78    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float    none      -1     0.72    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float    none      -1     0.73    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float    none      -1     0.80    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float    none      -1     0.73    0.00    0.00       0     0.72    0.00    0.00       0
         128             4     float    none      -1    34.32    0.00    0.00       0    34.19    0.00    0.00       0
         256             8     float    none      -1    34.94    0.01    0.01       0    34.80    0.01    0.01       0
         512            16     float    none      -1    35.20    0.01    0.01       0    34.95    0.01    0.01       0
        1024            32     float    none      -1    34.56    0.03    0.03       0    34.82    0.03    0.03       0
        2048            64     float    none      -1    34.68    0.06    0.05       0    34.87    0.06    0.05       0
        4096           128     float    none      -1    34.78    0.12    0.10       0    34.69    0.12    0.10       0
        8192           256     float    none      -1    34.15    0.24    0.21       0    33.15    0.25    0.22       0
       16384           512     float    none      -1    34.17    0.48    0.42       0    33.77    0.49    0.42       0
       32768          1024     float    none      -1    34.42    0.95    0.83       0    34.43    0.95    0.83       0
       65536          2048     float    none      -1    35.75    1.83    1.60       0    35.42    1.85    1.62       0
      131072          4096     float    none      -1    36.71    3.57    3.12       0    36.84    3.56    3.11       0
      262144          8192     float    none      -1    37.65    6.96    6.09       0    37.50    6.99    6.12       0
      524288         16384     float    none      -1    39.14   13.40   11.72       0    39.63   13.23   11.58       0
     1048576         32768     float    none      -1    40.50   25.89   22.66       0    40.58   25.84   22.61       0
     2097152         65536     float    none      -1    40.33   52.00   45.50       0    40.56   51.71   45.24       0
     4194304        131072     float    none      -1    39.45  106.33   93.04       0    41.17  101.89   89.15       0
     8388608        262144     float    none      -1    43.70  191.96  167.96       0    42.67  196.59  172.01       0
    16777216        524288     float    none      -1    65.57  255.88  223.89       0    64.50  260.13  227.61       0
    33554432       1048576     float    none      -1   121.57  276.01  241.51       0   117.99  284.39  248.84       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 34.3403 
#
# Collective test concluded: all_gather_perf
#

