# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1356457 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1356457 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1356457 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1356457 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1356457 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1356457 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1356457 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1356457 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    40.19    0.00    0.00       0    40.23    0.00    0.00       0
           8             2     float     sum      -1    40.36    0.00    0.00       0    40.11    0.00    0.00       0
          16             4     float     sum      -1    40.39    0.00    0.00       0    40.70    0.00    0.00       0
          32             8     float     sum      -1    41.03    0.00    0.00       0    40.31    0.00    0.00       0
          64            16     float     sum      -1    40.44    0.00    0.00       0    40.12    0.00    0.00       0
         128            32     float     sum      -1    39.78    0.00    0.01       0    38.79    0.00    0.01       0
         256            64     float     sum      -1    38.55    0.01    0.01       0    38.59    0.01    0.01       0
         512           128     float     sum      -1    39.04    0.01    0.02       0    38.74    0.01    0.02       0
        1024           256     float     sum      -1    38.88    0.03    0.05       0    38.82    0.03    0.05       0
        2048           512     float     sum      -1    39.14    0.05    0.09       0    38.96    0.05    0.09       0
        4096          1024     float     sum      -1    40.00    0.10    0.18       0    39.60    0.10    0.18       0
        8192          2048     float     sum      -1    40.20    0.20    0.36       0    40.40    0.20    0.35       0
       16384          4096     float     sum      -1    40.38    0.41    0.71       0    40.09    0.41    0.72       0
       32768          8192     float     sum      -1    40.69    0.81    1.41       0    40.55    0.81    1.41       0
       65536         16384     float     sum      -1    40.81    1.61    2.81       0    41.41    1.58    2.77       0
      131072         32768     float     sum      -1    41.57    3.15    5.52       0    41.49    3.16    5.53       0
      262144         65536     float     sum      -1    41.99    6.24   10.93       0    42.12    6.22   10.89       0
      524288        131072     float     sum      -1    42.74   12.27   21.47       0    42.34   12.38   21.67       0
     1048576        262144     float     sum      -1    61.81   16.97   29.69       0    44.80   23.41   40.96       0
     2097152        524288     float     sum      -1    43.44   48.28   84.49       0    43.36   48.36   84.64       0
     4194304       1048576     float     sum      -1    53.42   78.51  137.40       0    53.00   79.13  138.49       0
     8388608       2097152     float     sum      -1    82.17  102.08  178.65       0    81.62  102.78  179.87       0
    16777216       4194304     float     sum      -1   123.36  136.00  238.00       0   122.83  136.59  239.03       0
    33554432       8388608     float     sum      -1   197.80  169.64  296.87       0   197.93  169.53  296.67       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 42.3338 
#
# Collective test concluded: all_reduce_perf
#

