# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1375334 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1375334 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1375334 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1375334 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1375334 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1375334 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1375334 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1375334 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.72    0.00    0.00       0     0.73    0.00    0.00    N/A
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.72    0.00    0.00       0     0.73    0.00    0.00    N/A
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00    N/A
         128             4     float    none      -1    49.25    0.00    0.00       0    48.35    0.00    0.00    N/A
         256             8     float    none      -1    48.30    0.01    0.00       0    47.97    0.01    0.00    N/A
         512            16     float    none      -1    48.51    0.01    0.01       0    48.55    0.01    0.01    N/A
        1024            32     float    none      -1    48.36    0.02    0.02       0    48.35    0.02    0.02    N/A
        2048            64     float    none      -1    48.62    0.04    0.04       0    48.36    0.04    0.04    N/A
        4096           128     float    none      -1    48.50    0.08    0.07       0    47.44    0.09    0.08    N/A
        8192           256     float    none      -1    46.47    0.18    0.15       0    46.34    0.18    0.15    N/A
       16384           512     float    none      -1    46.86    0.35    0.31       0    45.98    0.36    0.31    N/A
       32768          1024     float    none      -1    46.70    0.70    0.61       0    46.33    0.71    0.62    N/A
       65536          2048     float    none      -1    46.52    1.41    1.23       0    46.47    1.41    1.23    N/A
      131072          4096     float    none      -1    46.76    2.80    2.45       0    46.44    2.82    2.47    N/A
      262144          8192     float    none      -1    47.36    5.53    4.84       0    46.99    5.58    4.88    N/A
      524288         16384     float    none      -1    58.35    8.99    7.86       0    46.73   11.22    9.82    N/A
     1048576         32768     float    none      -1    49.46   21.20   18.55       0    48.71   21.53   18.83    N/A
     2097152         65536     float    none      -1    54.38   38.57   33.75       0    53.44   39.24   34.34    N/A
     4194304        131072     float    none      -1    57.18   73.36   64.19       0    56.02   74.87   65.51    N/A
     8388608        262144     float    none      -1    58.59  143.17  125.27       0    58.71  142.89  125.03    N/A
    16777216        524288     float    none      -1    73.65  227.80  199.32       0    72.03  232.91  203.79    N/A
    33554432       1048576     float    none      -1   123.37  271.99  237.99       0   122.69  273.50  239.31    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 29.2319 
#
# Collective test concluded: alltoall_perf
#

