# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1421066 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1421066 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1421066 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1421066 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1421066 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1421066 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1421066 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1421066 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0    32.48    0.00    0.00       0    32.24    0.00    0.00       0
           8             2     float    none       0    32.18    0.00    0.00       0    32.91    0.00    0.00       0
          16             4     float    none       0    32.13    0.00    0.00       0    32.81    0.00    0.00       0
          32             8     float    none       0    32.15    0.00    0.00       0    32.08    0.00    0.00       0
          64            16     float    none       0    32.18    0.00    0.00       0    31.76    0.00    0.00       0
         128            32     float    none       0    31.44    0.00    0.00       0    30.66    0.00    0.00       0
         256            64     float    none       0    31.06    0.01    0.01       0    30.72    0.01    0.01       0
         512           128     float    none       0    30.78    0.02    0.02       0    30.56    0.02    0.02       0
        1024           256     float    none       0    30.92    0.03    0.03       0    30.69    0.03    0.03       0
        2048           512     float    none       0    30.59    0.07    0.07       0    30.79    0.07    0.07       0
        4096          1024     float    none       0    30.61    0.13    0.13       0    30.36    0.13    0.13       0
        8192          2048     float    none       0    30.85    0.27    0.27       0    30.83    0.27    0.27       0
       16384          4096     float    none       0    30.51    0.54    0.54       0    30.75    0.53    0.53       0
       32768          8192     float    none       0    30.85    1.06    1.06       0    30.91    1.06    1.06       0
       65536         16384     float    none       0    31.75    2.06    2.06       0    32.74    2.00    2.00       0
      131072         32768     float    none       0    32.71    4.01    4.01       0    33.72    3.89    3.89       0
      262144         65536     float    none       0    34.56    7.59    7.59       0    36.70    7.14    7.14       0
      524288        131072     float    none       0    38.79   13.52   13.52       0    34.47   15.21   15.21       0
     1048576        262144     float    none       0    36.19   28.97   28.97       0    37.01   28.33   28.33       0
     2097152        524288     float    none       0    40.77   51.44   51.44       0    39.16   53.55   53.55       0
     4194304       1048576     float    none       0    43.01   97.52   97.52       0    38.69  108.40  108.40       0
     8388608       2097152     float    none       0    42.80  195.98  195.98       0    42.94  195.37  195.37       0
    16777216       4194304     float    none       0    72.92  230.07  230.07       0    72.21  232.32  232.32       0
    33554432       8388608     float    none       0   119.83  280.01  280.01       0   120.88  277.59  277.59       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 38.3172 
#
# Collective test concluded: broadcast_perf
#

