# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1459798 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1459798 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1459798 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1459798 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1459798 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1459798 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1459798 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1459798 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.72    0.00    0.00       0     0.72    0.00    0.00       0
           0             0     float     sum      -1     0.71    0.00    0.00       0     0.72    0.00    0.00       0
           0             0     float     sum      -1     0.73    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float     sum      -1     0.73    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float     sum      -1     0.73    0.00    0.00       0     0.73    0.00    0.00       0
         128             4     float     sum      -1    40.85    0.00    0.00       0    40.36    0.00    0.00       0
         256             8     float     sum      -1    41.09    0.01    0.01       0    41.40    0.01    0.01       0
         512            16     float     sum      -1    40.94    0.01    0.01       0    40.91    0.01    0.01       0
        1024            32     float     sum      -1    40.32    0.03    0.02       0    40.63    0.03    0.02       0
        2048            64     float     sum      -1    41.63    0.05    0.04       0    41.09    0.05    0.04       0
        4096           128     float     sum      -1    40.91    0.10    0.09       0    41.08    0.10    0.09       0
        8192           256     float     sum      -1    40.35    0.20    0.18       0    39.22    0.21    0.18       0
       16384           512     float     sum      -1    39.88    0.41    0.36       0    39.18    0.42    0.37       0
       32768          1024     float     sum      -1    40.20    0.82    0.71       0    39.28    0.83    0.73       0
       65536          2048     float     sum      -1    40.98    1.60    1.40       0    40.68    1.61    1.41       0
      131072          4096     float     sum      -1    43.50    3.01    2.64       0    42.18    3.11    2.72       0
      262144          8192     float     sum      -1    43.82    5.98    5.23       0    43.42    6.04    5.28       0
      524288         16384     float     sum      -1    45.47   11.53   10.09       0    44.63   11.75   10.28       0
     1048576         32768     float     sum      -1    53.59   19.57   17.12       0    46.38   22.61   19.78       0
     2097152         65536     float     sum      -1    46.52   45.08   39.45       0    46.61   44.99   39.37       0
     4194304        131072     float     sum      -1    45.16   92.88   81.27       0    47.86   87.63   76.68       0
     8388608        262144     float     sum      -1    46.40  180.80  158.20       0    46.37  180.90  158.28       0
    16777216        524288     float     sum      -1    68.83  243.74  213.27       0    68.58  244.64  214.06       0
    33554432       1048576     float     sum      -1   112.34  298.68  261.34       0   111.28  301.55  263.85       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.0124 
#
# Collective test concluded: reduce_scatter_perf
#

