# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1431723 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1431724 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1431725 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1431726 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1431727 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1431728 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1431729 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1431730 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1455941 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1455942 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1455943 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1455944 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1455945 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1455946 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1455947 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1455948 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
         256             4     float    none      -1    41.94    0.01    0.01       0    41.76    0.01    0.01       0
         512             8     float    none      -1    41.82    0.01    0.01       0    41.72    0.01    0.01       0
        1024            16     float    none      -1    41.96    0.02    0.02       0    41.96    0.02    0.02       0
        2048            32     float    none      -1    41.96    0.05    0.05       0    44.48    0.05    0.04       0
        4096            64     float    none      -1    41.89    0.10    0.09       0    41.92    0.10    0.09       0
        8192           128     float    none      -1    42.11    0.19    0.18       0    42.24    0.19    0.18       0
       16384           256     float    none      -1    43.07    0.38    0.36       0    42.94    0.38    0.36       0
       32768           512     float    none      -1    44.25    0.74    0.69       0    44.20    0.74    0.69       0
       65536          1024     float    none      -1    48.05    1.36    1.28       0    47.77    1.37    1.29       0
      131072          2048     float    none      -1    50.49    2.60    2.43       0    50.05    2.62    2.46       0
      262144          4096     float    none      -1    52.27    5.02    4.70       0    52.31    5.01    4.70       0
      524288          8192     float    none      -1    53.76    9.75    9.14       0    54.57    9.61    9.01       0
     1048576         16384     float    none      -1    65.52   16.00   15.00       0    63.11   16.62   15.58       0
     2097152         32768     float    none      -1   168.14   12.47   11.69       0   167.61   12.51   11.73       0
     4194304         65536     float    none      -1   173.11   24.23   22.71       0   172.46   24.32   22.80       0
     8388608        131072     float    none      -1   184.37   45.50   42.65       0   183.22   45.79   42.92       0
    16777216        262144     float    none      -1   223.80   74.97   70.28       0   221.79   75.64   70.92       0
    33554432        524288     float    none      -1   271.82  123.45  115.73       0   269.50  124.50  116.72       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 12.4286 
#
# Collective test concluded: all_gather_perf
#

