# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1370962 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1370963 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1370964 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1370965 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1370966 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1370967 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1370968 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1370969 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1395914 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1395915 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1395916 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1395917 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1395918 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1395919 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1395920 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1395921 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    29.79    0.00    0.00       0    29.33    0.00    0.00       0
           8             2     float     sum      -1    29.31    0.00    0.00       0    29.31    0.00    0.00       0
          16             4     float     sum      -1    29.42    0.00    0.00       0    29.44    0.00    0.00       0
          32             8     float     sum      -1    29.51    0.00    0.00       0    29.50    0.00    0.00       0
          64            16     float     sum      -1    29.85    0.00    0.00       0    29.59    0.00    0.00       0
         128            32     float     sum      -1    30.17    0.00    0.01       0    29.96    0.00    0.01       0
         256            64     float     sum      -1    30.64    0.01    0.02       0    30.49    0.01    0.02       0
         512           128     float     sum      -1    30.97    0.02    0.03       0    30.80    0.02    0.03       0
        1024           256     float     sum      -1    31.54    0.03    0.06       0    31.46    0.03    0.06       0
        2048           512     float     sum      -1    32.65    0.06    0.12       0    32.68    0.06    0.12       0
        4096          1024     float     sum      -1    34.94    0.12    0.22       0    34.66    0.12    0.22       0
        8192          2048     float     sum      -1    36.86    0.22    0.42       0    36.10    0.23    0.43       0
       16384          4096     float     sum      -1    36.80    0.45    0.83       0    36.50    0.45    0.84       0
       32768          8192     float     sum      -1    37.04    0.88    1.66       0    36.43    0.90    1.69       0
       65536         16384     float     sum      -1    37.16    1.76    3.31       0    36.68    1.79    3.35       0
      131072         32768     float     sum      -1    42.54    3.08    5.78       0    41.60    3.15    5.91       0
      262144         65536     float     sum      -1    50.74    5.17    9.69       0    50.38    5.20    9.76       0
      524288        131072     float     sum      -1    68.86    7.61   14.28       0    68.57    7.65   14.34       0
     1048576        262144     float     sum      -1    88.95   11.79   22.10       0    88.87   11.80   22.12       0
     2097152        524288     float     sum      -1   129.77   16.16   30.30       0   129.01   16.26   30.48       0
     4194304       1048576     float     sum      -1   138.13   30.36   56.93       0   136.88   30.64   57.45       0
     8388608       2097152     float     sum      -1   161.93   51.80   97.13       0   160.87   52.14   97.77       0
    16777216       4194304     float     sum      -1   431.49   38.88   72.90       0   430.17   39.00   73.13       0
    33554432       8388608     float     sum      -1   532.03   63.07  118.25       0   530.93   63.20  118.50       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 18.1305 
#
# Collective test concluded: all_reduce_perf
#

