# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1392526 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1392527 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1392528 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1392529 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1392530 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1392531 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1392532 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1392533 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1417219 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1417220 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1417221 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1417222 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1417223 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1417224 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1417225 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1417226 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
           0             0     float    none      -1     0.13    0.00    0.00       0     0.13    0.00    0.00    N/A
         256             4     float    none      -1    39.81    0.01    0.01       0    39.51    0.01    0.01    N/A
         512             8     float    none      -1    39.99    0.01    0.01       0    39.43    0.01    0.01    N/A
        1024            16     float    none      -1    39.85    0.03    0.02       0    39.68    0.03    0.02    N/A
        2048            32     float    none      -1    39.86    0.05    0.05       0    39.35    0.05    0.05    N/A
        4096            64     float    none      -1    39.41    0.10    0.10       0    39.35    0.10    0.10    N/A
        8192           128     float    none      -1    39.62    0.21    0.19       0    39.66    0.21    0.19    N/A
       16384           256     float    none      -1    40.30    0.41    0.38       0    40.02    0.41    0.38    N/A
       32768           512     float    none      -1    41.97    0.78    0.73       0    41.86    0.78    0.73    N/A
       65536          1024     float    none      -1    41.36    1.58    1.49       0    41.26    1.59    1.49    N/A
      131072          2048     float    none      -1    44.37    2.95    2.77       0    43.43    3.02    2.83    N/A
      262144          4096     float    none      -1    49.64    5.28    4.95       0    49.69    5.28    4.95    N/A
      524288          8192     float    none      -1    58.43    8.97    8.41       0    58.45    8.97    8.41    N/A
     1048576         16384     float    none      -1    82.20   12.76   11.96       0    82.08   12.78   11.98    N/A
     2097152         32768     float    none      -1   106.18   19.75   18.52       0   106.20   19.75   18.51    N/A
     4194304         65536     float    none      -1   126.74   33.09   31.02       0   125.91   33.31   31.23    N/A
     8388608        131072     float    none      -1   173.47   48.36   45.34       0   171.81   48.82   45.77    N/A
    16777216        262144     float    none      -1   278.99   60.14   56.38       0   276.93   60.58   56.80    N/A
    33554432        524288     float    none      -1   465.52   72.08   67.57       0   465.04   72.15   67.64    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 10.4377 
#
# Collective test concluded: alltoall_perf
#

