# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1414674 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1414675 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1414676 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1414677 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1414678 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1414679 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1414680 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1414681 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1439106 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1439107 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1439108 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1439109 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1439110 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1439111 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1439112 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1439113 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0     9.66    0.00    0.00       0     9.61    0.00    0.00       0
           8             2     float    none       0     9.61    0.00    0.00       0     9.54    0.00    0.00       0
          16             4     float    none       0     9.69    0.00    0.00       0     9.52    0.00    0.00       0
          32             8     float    none       0     9.57    0.00    0.00       0     9.54    0.00    0.00       0
          64            16     float    none       0     9.66    0.01    0.01       0     9.62    0.01    0.01       0
         128            32     float    none       0     9.60    0.01    0.01       0     9.81    0.01    0.01       0
         256            64     float    none       0     9.59    0.03    0.03       0     9.53    0.03    0.03       0
         512           128     float    none       0     9.59    0.05    0.05       0     9.60    0.05    0.05       0
        1024           256     float    none       0     9.91    0.10    0.10       0     9.85    0.10    0.10       0
        2048           512     float    none       0    10.37    0.20    0.20       0    10.30    0.20    0.20       0
        4096          1024     float    none       0    10.93    0.37    0.37       0    10.89    0.38    0.38       0
        8192          2048     float    none       0    15.84    0.52    0.52       0    15.74    0.52    0.52       0
       16384          4096     float    none       0    17.22    0.95    0.95       0    17.13    0.96    0.96       0
       32768          8192     float    none       0    18.44    1.78    1.78       0    18.30    1.79    1.79       0
       65536         16384     float    none       0    36.05    1.82    1.82       0    36.02    1.82    1.82       0
      131072         32768     float    none       0    53.55    2.45    2.45       0    56.47    2.32    2.32       0
      262144         65536     float    none       0    64.29    4.08    4.08       0    68.66    3.82    3.82       0
      524288        131072     float    none       0    70.06    7.48    7.48       0    71.64    7.32    7.32       0
     1048576        262144     float    none       0    77.56   13.52   13.52       0    78.59   13.34   13.34       0
     2097152        524288     float    none       0    71.10   29.50   29.50       0    71.09   29.50   29.50       0
     4194304       1048576     float    none       0    93.18   45.01   45.01       0    93.11   45.05   45.05       0
     8388608       2097152     float    none       0   133.99   62.61   62.61       0   134.01   62.60   62.60       0
    16777216       4194304     float    none       0   173.18   96.87   96.87       0   173.43   96.74   96.74       0
    33554432       8388608     float    none       0   241.45  138.97  138.97       0   241.50  138.94  138.94       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 16.9131 
#
# Collective test concluded: broadcast_perf
#

