# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1452869 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1452870 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1452871 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1452872 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1452873 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1452874 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1452875 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1452876 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1989652 on h200-bar-201-239 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1989653 on h200-bar-201-239 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1989654 on h200-bar-201-239 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1989655 on h200-bar-201-239 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1989656 on h200-bar-201-239 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1989657 on h200-bar-201-239 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1989658 on h200-bar-201-239 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1989659 on h200-bar-201-239 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.14    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float     sum      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float     sum      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float     sum      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float     sum      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     float     sum      -1     0.13    0.00    0.00       0     0.13    0.00    0.00       0
         256             4     float     sum      -1    41.70    0.01    0.01       0    41.62    0.01    0.01       0
         512             8     float     sum      -1    41.68    0.01    0.01       0    42.89    0.01    0.01       0
        1024            16     float     sum      -1    41.81    0.02    0.02       0    41.81    0.02    0.02       0
        2048            32     float     sum      -1    41.85    0.05    0.05       0    41.91    0.05    0.05       0
        4096            64     float     sum      -1    41.83    0.10    0.09       0    41.72    0.10    0.09       0
        8192           128     float     sum      -1    42.25    0.19    0.18       0    42.12    0.19    0.18       0
       16384           256     float     sum      -1    43.26    0.38    0.36       0    42.87    0.38    0.36       0
       32768           512     float     sum      -1    44.13    0.74    0.70       0    43.91    0.75    0.70       0
       65536          1024     float     sum      -1    46.99    1.39    1.31       0    46.98    1.39    1.31       0
      131072          2048     float     sum      -1    49.49    2.65    2.48       0    49.73    2.64    2.47       0
      262144          4096     float     sum      -1    50.87    5.15    4.83       0    50.72    5.17    4.85       0
      524288          8192     float     sum      -1    53.32    9.83    9.22       0    52.87    9.92    9.30       0
     1048576         16384     float     sum      -1    65.71   15.96   14.96       0    65.61   15.98   14.98       0
     2097152         32768     float     sum      -1   171.02   12.26   11.50       0   217.30    9.65    9.05       0
     4194304         65536     float     sum      -1   182.26   23.01   21.57       0   187.93   22.32   20.92       0
     8388608        131072     float     sum      -1   186.93   44.88   42.07       0   185.91   45.12   42.30       0
    16777216        262144     float     sum      -1   225.39   74.44   69.78       0   224.86   74.61   69.95       0
    33554432        524288     float     sum      -1   273.51  122.68  115.01       0   274.47  122.25  114.61       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 12.1938 
#
# Collective test concluded: reduce_scatter_perf
#

