# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1428334 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1428334 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1428334 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1428334 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1428334 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1428334 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1428334 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1428334 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.74    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00       0
           0             0     float    none      -1     0.71    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00       0
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00       0
         128             4     float    none      -1    34.12    0.00    0.00       0    33.76    0.00    0.00       0
         256             8     float    none      -1    34.00    0.01    0.01       0    33.84    0.01    0.01       0
         512            16     float    none      -1    52.98    0.01    0.01       0    33.86    0.02    0.01       0
        1024            32     float    none      -1    33.86    0.03    0.03       0    33.82    0.03    0.03       0
        2048            64     float    none      -1    33.70    0.06    0.05       0    33.76    0.06    0.05       0
        4096           128     float    none      -1    33.95    0.12    0.11       0    33.82    0.12    0.11       0
        8192           256     float    none      -1    33.17    0.25    0.22       0    32.35    0.25    0.22       0
       16384           512     float    none      -1    32.93    0.50    0.44       0    33.15    0.49    0.43       0
       32768          1024     float    none      -1    33.43    0.98    0.86       0    33.64    0.97    0.85       0
       65536          2048     float    none      -1    34.85    1.88    1.65       0    34.74    1.89    1.65       0
      131072          4096     float    none      -1    35.90    3.65    3.19       0    35.82    3.66    3.20       0
      262144          8192     float    none      -1    36.43    7.20    6.30       0    37.71    6.95    6.08       0
      524288         16384     float    none      -1    39.66   13.22   11.57       0    38.71   13.55   11.85       0
     1048576         32768     float    none      -1    39.79   26.35   23.06       0    39.42   26.60   23.28       0
     2097152         65536     float    none      -1    39.63   52.92   46.30       0    39.40   53.23   46.58       0
     4194304        131072     float    none      -1    50.22   83.52   73.08       0    40.29  104.10   91.09       0
     8388608        262144     float    none      -1    44.05  190.42  166.62       0    43.01  195.03  170.65       0
    16777216        524288     float    none      -1    65.91  254.53  222.72       0    64.88  258.58  226.26       0
    33554432       1048576     float    none      -1   120.91  277.51  242.82       0   117.72  285.04  249.41       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.9747 
#
# Collective test concluded: all_gather_perf
#

