# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1369957 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1369957 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1369957 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1369957 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1369957 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1369957 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1369957 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1369957 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    33.64    0.00    0.00       0    33.45    0.00    0.00       0
           8             2     float     sum      -1    34.15    0.00    0.00       0    34.18    0.00    0.00       0
          16             4     float     sum      -1    34.18    0.00    0.00       0    34.08    0.00    0.00       0
          32             8     float     sum      -1    35.24    0.00    0.00       0    34.27    0.00    0.00       0
          64            16     float     sum      -1    34.26    0.00    0.00       0    34.11    0.00    0.00       0
         128            32     float     sum      -1    33.67    0.00    0.01       0    32.86    0.00    0.01       0
         256            64     float     sum      -1    32.81    0.01    0.01       0    32.70    0.01    0.01       0
         512           128     float     sum      -1    32.89    0.02    0.03       0    32.97    0.02    0.03       0
        1024           256     float     sum      -1    32.98    0.03    0.05       0    32.74    0.03    0.05       0
        2048           512     float     sum      -1    33.18    0.06    0.11       0    33.19    0.06    0.11       0
        4096          1024     float     sum      -1    34.01    0.12    0.21       0    33.93    0.12    0.21       0
        8192          2048     float     sum      -1    34.55    0.24    0.41       0    34.31    0.24    0.42       0
       16384          4096     float     sum      -1    34.74    0.47    0.83       0    34.65    0.47    0.83       0
       32768          8192     float     sum      -1    34.63    0.95    1.66       0    34.58    0.95    1.66       0
       65536         16384     float     sum      -1    35.15    1.86    3.26       0    35.53    1.84    3.23       0
      131072         32768     float     sum      -1    35.61    3.68    6.44       0    35.51    3.69    6.46       0
      262144         65536     float     sum      -1    36.17    7.25   12.68       0    36.23    7.23   12.66       0
      524288        131072     float     sum      -1    36.78   14.26   24.95       0    36.64   14.31   25.04       0
     1048576        262144     float     sum      -1    38.47   27.26   47.70       0    38.74   27.07   47.37       0
     2097152        524288     float     sum      -1    39.41   53.21   93.12       0    38.72   54.16   94.78       0
     4194304       1048576     float     sum      -1    51.09   82.09  143.66       0    49.63   84.51  147.89       0
     8388608       2097152     float     sum      -1    77.54  108.18  189.32       0    75.97  110.42  193.24       0
    16777216       4194304     float     sum      -1   116.79  143.66  251.40       0   115.05  145.83  255.20       0
    33554432       8388608     float     sum      -1   212.56  157.86  276.25       0   209.42  160.23  280.40       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 44.202 
#
# Collective test concluded: all_reduce_perf
#

