# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1414250 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1414250 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1414250 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1414250 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1414250 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1414250 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1414250 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1414250 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.72    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.72    0.00    0.00       0     0.71    0.00    0.00    N/A
           0             0     float    none      -1     0.71    0.00    0.00       0     0.73    0.00    0.00    N/A
           0             0     float    none      -1     0.74    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.71    0.00    0.00       0     0.71    0.00    0.00    N/A
         128             4     float    none      -1    49.78    0.00    0.00       0    48.57    0.00    0.00    N/A
         256             8     float    none      -1    48.65    0.01    0.00       0    48.29    0.01    0.00    N/A
         512            16     float    none      -1    48.77    0.01    0.01       0    48.40    0.01    0.01    N/A
        1024            32     float    none      -1    49.02    0.02    0.02       0    48.21    0.02    0.02    N/A
        2048            64     float    none      -1    49.10    0.04    0.04       0    47.86    0.04    0.04    N/A
        4096           128     float    none      -1    47.96    0.09    0.07       0    47.72    0.09    0.08    N/A
        8192           256     float    none      -1    47.01    0.17    0.15       0    46.35    0.18    0.15    N/A
       16384           512     float    none      -1    47.11    0.35    0.30       0    46.00    0.36    0.31    N/A
       32768          1024     float    none      -1    46.73    0.70    0.61       0    46.15    0.71    0.62    N/A
       65536          2048     float    none      -1    47.21    1.39    1.21       0    46.77    1.40    1.23    N/A
      131072          4096     float    none      -1    47.21    2.78    2.43       0    47.42    2.76    2.42    N/A
      262144          8192     float    none      -1    46.60    5.63    4.92       0    47.21    5.55    4.86    N/A
      524288         16384     float    none      -1    47.41   11.06    9.68       0    49.29   10.64    9.31    N/A
     1048576         32768     float    none      -1    51.47   20.37   17.83       0    50.14   20.91   18.30    N/A
     2097152         65536     float    none      -1    57.85   36.25   31.72       0    54.05   38.80   33.95    N/A
     4194304        131072     float    none      -1    55.55   75.51   66.07       0    54.41   77.09   67.45    N/A
     8388608        262144     float    none      -1    56.13  149.45  130.77       0    56.01  149.77  131.05    N/A
    16777216        524288     float    none      -1    72.42  231.68  202.72       0    70.33  238.55  208.73    N/A
    33554432       1048576     float    none      -1   124.07  270.45  236.64       0   123.81  271.01  237.14    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 29.6014 
#
# Collective test concluded: alltoall_perf
#

