# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1434416 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1434416 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1434416 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1434416 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1434416 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1434416 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1434416 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1434416 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0    31.80    0.00    0.00       0    31.94    0.00    0.00       0
           8             2     float    none       0    31.96    0.00    0.00       0    31.95    0.00    0.00       0
          16             4     float    none       0    31.68    0.00    0.00       0    31.71    0.00    0.00       0
          32             8     float    none       0    31.83    0.00    0.00       0    31.49    0.00    0.00       0
          64            16     float    none       0    31.94    0.00    0.00       0    31.58    0.00    0.00       0
         128            32     float    none       0    31.08    0.00    0.00       0    30.23    0.00    0.00       0
         256            64     float    none       0    30.48    0.01    0.01       0    30.23    0.01    0.01       0
         512           128     float    none       0    30.59    0.02    0.02       0    30.32    0.02    0.02       0
        1024           256     float    none       0    30.33    0.03    0.03       0    30.12    0.03    0.03       0
        2048           512     float    none       0    30.49    0.07    0.07       0    30.48    0.07    0.07       0
        4096          1024     float    none       0    30.44    0.13    0.13       0    30.22    0.14    0.14       0
        8192          2048     float    none       0    30.35    0.27    0.27       0    30.37    0.27    0.27       0
       16384          4096     float    none       0    30.45    0.54    0.54       0    30.34    0.54    0.54       0
       32768          8192     float    none       0    30.63    1.07    1.07       0    30.45    1.08    1.08       0
       65536         16384     float    none       0    30.88    2.12    2.12       0    31.07    2.11    2.11       0
      131072         32768     float    none       0    31.59    4.15    4.15       0    31.63    4.14    4.14       0
      262144         65536     float    none       0    32.42    8.09    8.09       0    32.50    8.07    8.07       0
      524288        131072     float    none       0    34.03   15.41   15.41       0    33.97   15.43   15.43       0
     1048576        262144     float    none       0    35.51   29.53   29.53       0    35.73   29.34   29.34       0
     2097152        524288     float    none       0    36.94   56.78   56.78       0    37.00   56.68   56.68       0
     4194304       1048576     float    none       0    37.91  110.65  110.65       0    37.90  110.67  110.67       0
     8388608       2097152     float    none       0    43.09  194.66  194.66       0    42.90  195.56  195.56       0
    16777216       4194304     float    none       0    72.38  231.81  231.81       0    71.45  234.80  234.80       0
    33554432       8388608     float    none       0   119.89  279.88  279.88       0   120.00  279.62  279.62       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 39.0374 
#
# Collective test concluded: broadcast_perf
#

