# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1986693 on h200-bar-201-239 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1986693 on h200-bar-201-239 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1986693 on h200-bar-201-239 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1986693 on h200-bar-201-239 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1986693 on h200-bar-201-239 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1986693 on h200-bar-201-239 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1986693 on h200-bar-201-239 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1986693 on h200-bar-201-239 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.72    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float     sum      -1     0.74    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float     sum      -1     0.73    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float     sum      -1     0.73    0.00    0.00       0     0.73    0.00    0.00       0
           0             0     float     sum      -1     0.73    0.00    0.00       0     0.74    0.00    0.00       0
         128             4     float     sum      -1    34.43    0.00    0.00       0    34.15    0.00    0.00       0
         256             8     float     sum      -1    34.05    0.01    0.01       0    33.79    0.01    0.01       0
         512            16     float     sum      -1    34.12    0.02    0.01       0    33.94    0.02    0.01       0
        1024            32     float     sum      -1    34.11    0.03    0.03       0    33.82    0.03    0.03       0
        2048            64     float     sum      -1    33.98    0.06    0.05       0    33.85    0.06    0.05       0
        4096           128     float     sum      -1    33.83    0.12    0.11       0    33.78    0.12    0.11       0
        8192           256     float     sum      -1    33.39    0.25    0.21       0    32.32    0.25    0.22       0
       16384           512     float     sum      -1    33.21    0.49    0.43       0    33.36    0.49    0.43       0
       32768          1024     float     sum      -1    33.53    0.98    0.86       0    33.76    0.97    0.85       0
       65536          2048     float     sum      -1    34.84    1.88    1.65       0    35.03    1.87    1.64       0
      131072          4096     float     sum      -1    36.08    3.63    3.18       0    35.92    3.65    3.19       0
      262144          8192     float     sum      -1    36.76    7.13    6.24       0    36.63    7.16    6.26       0
      524288         16384     float     sum      -1    38.34   13.68   11.97       0    38.37   13.66   11.95       0
     1048576         32768     float     sum      -1    39.59   26.49   23.18       0    39.37   26.64   23.31       0
     2097152         65536     float     sum      -1    39.57   52.99   46.37       0    39.72   52.80   46.20       0
     4194304        131072     float     sum      -1    38.23  109.72   96.01       0    40.27  104.16   91.14       0
     8388608        262144     float     sum      -1    46.05  182.18  159.41       0    45.50  184.36  161.31       0
    16777216        524288     float     sum      -1    68.28  245.70  214.98       0    67.81  247.42  216.50       0
    33554432       1048576     float     sum      -1   113.09  296.71  259.63       0   112.41  298.50  261.18       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 34.3481 
#
# Collective test concluded: reduce_scatter_perf
#

