# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1366281 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1366282 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1366283 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1366284 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1366285 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1366286 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1366287 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1366288 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1391291 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1391292 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1391293 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1391294 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1391295 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1391296 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1391297 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1391298 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    29.78    0.00    0.00       0    29.61    0.00    0.00       0
           8             2     float     sum      -1    29.47    0.00    0.00       0    29.49    0.00    0.00       0
          16             4     float     sum      -1    29.56    0.00    0.00       0    29.53    0.00    0.00       0
          32             8     float     sum      -1    29.72    0.00    0.00       0    29.75    0.00    0.00       0
          64            16     float     sum      -1    29.98    0.00    0.00       0    30.13    0.00    0.00       0
         128            32     float     sum      -1    30.38    0.00    0.01       0    30.43    0.00    0.01       0
         256            64     float     sum      -1    30.98    0.01    0.02       0    30.72    0.01    0.02       0
         512           128     float     sum      -1    31.35    0.02    0.03       0    31.07    0.02    0.03       0
        1024           256     float     sum      -1    31.79    0.03    0.06       0    31.66    0.03    0.06       0
        2048           512     float     sum      -1    33.29    0.06    0.12       0    33.01    0.06    0.12       0
        4096          1024     float     sum      -1    35.33    0.12    0.22       0    35.01    0.12    0.22       0
        8192          2048     float     sum      -1    36.21    0.23    0.42       0    35.73    0.23    0.43       0
       16384          4096     float     sum      -1    36.83    0.44    0.83       0    36.20    0.45    0.85       0
       32768          8192     float     sum      -1    37.12    0.88    1.66       0    36.48    0.90    1.68       0
       65536         16384     float     sum      -1    37.30    1.76    3.29       0    36.52    1.79    3.36       0
      131072         32768     float     sum      -1    42.57    3.08    5.77       0    43.87    2.99    5.60       0
      262144         65536     float     sum      -1    50.98    5.14    9.64       0    50.68    5.17    9.70       0
      524288        131072     float     sum      -1    69.76    7.52   14.09       0    69.01    7.60   14.24       0
     1048576        262144     float     sum      -1    89.32   11.74   22.01       0    89.14   11.76   22.06       0
     2097152        524288     float     sum      -1    94.76   22.13   41.50       0    93.23   22.49   42.18       0
     4194304       1048576     float     sum      -1   102.47   40.93   76.75       0   101.46   41.34   77.51       0
     8388608       2097152     float     sum      -1   118.59   70.74  132.63       0   117.75   71.24  133.58       0
    16777216       4194304     float     sum      -1   158.20  106.05  198.85       0   156.46  107.23  201.06       0
    33554432       8388608     float     sum      -1   218.11  153.84  288.45       0   224.60  149.40  280.12       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.1082 
#
# Collective test concluded: all_reduce_perf
#

