# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1385960 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1385961 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1385962 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1385963 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1385964 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1385965 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1385966 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1385967 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1410725 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1410726 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1410727 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1410728 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1410729 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1410730 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1410731 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1410732 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.15    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0     float    none      -1     0.14    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0     float    none      -1     0.14    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0     float    none      -1     0.14    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0     float    none      -1     0.14    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0     float    none      -1     0.14    0.00    0.00       0     0.14    0.00    0.00    N/A
         256             4     float    none      -1    41.42    0.01    0.01       0    40.54    0.01    0.01    N/A
         512             8     float    none      -1    40.78    0.01    0.01       0    40.19    0.01    0.01    N/A
        1024            16     float    none      -1    40.67    0.03    0.02       0    40.78    0.03    0.02    N/A
        2048            32     float    none      -1    40.25    0.05    0.05       0    40.44    0.05    0.05    N/A
        4096            64     float    none      -1    40.67    0.10    0.09       0    40.30    0.10    0.10    N/A
        8192           128     float    none      -1    40.01    0.20    0.19       0    40.34    0.20    0.19    N/A
       16384           256     float    none      -1    41.07    0.40    0.37       0    40.97    0.40    0.37    N/A
       32768           512     float    none      -1    42.89    0.76    0.72       0    41.04    0.80    0.75    N/A
       65536          1024     float    none      -1    40.92    1.60    1.50       0    40.95    1.60    1.50    N/A
      131072          2048     float    none      -1    43.60    3.01    2.82       0    43.48    3.01    2.83    N/A
      262144          4096     float    none      -1    49.43    5.30    4.97       0    49.45    5.30    4.97    N/A
      524288          8192     float    none      -1    58.44    8.97    8.41       0    58.50    8.96    8.40    N/A
     1048576         16384     float    none      -1    82.37   12.73   11.93       0    81.64   12.84   12.04    N/A
     2097152         32768     float    none      -1   105.13   19.95   18.70       0   105.88   19.81   18.57    N/A
     4194304         65536     float    none      -1   126.19   33.24   31.16       0   125.53   33.41   31.32    N/A
     8388608        131072     float    none      -1   173.08   48.47   45.44       0   170.17   49.29   46.21    N/A
    16777216        262144     float    none      -1   282.10   59.47   55.76       0   276.85   60.60   56.81    N/A
    33554432        524288     float    none      -1   465.52   72.08   67.57       0   465.04   72.15   67.64    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 10.4486 
#
# Collective test concluded: alltoall_perf
#

