# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1404358 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1404359 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1404360 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1404361 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1404362 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1404363 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1404364 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1404365 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1428899 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1428900 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1428901 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1428902 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1428903 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1428904 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1428905 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1428906 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0     9.88    0.00    0.00       0     9.73    0.00    0.00       0
           8             2     float    none       0     9.72    0.00    0.00       0     9.64    0.00    0.00       0
          16             4     float    none       0     9.65    0.00    0.00       0     9.71    0.00    0.00       0
          32             8     float    none       0     9.63    0.00    0.00       0     9.66    0.00    0.00       0
          64            16     float    none       0     9.78    0.01    0.01       0     9.74    0.01    0.01       0
         128            32     float    none       0     9.68    0.01    0.01       0     9.63    0.01    0.01       0
         256            64     float    none       0     9.67    0.03    0.03       0     9.62    0.03    0.03       0
         512           128     float    none       0     9.65    0.05    0.05       0     9.66    0.05    0.05       0
        1024           256     float    none       0     9.95    0.10    0.10       0    10.46    0.10    0.10       0
        2048           512     float    none       0    10.40    0.20    0.20       0    10.40    0.20    0.20       0
        4096          1024     float    none       0    11.03    0.37    0.37       0    10.98    0.37    0.37       0
        8192          2048     float    none       0    15.95    0.51    0.51       0    15.84    0.52    0.52       0
       16384          4096     float    none       0    17.36    0.94    0.94       0    17.30    0.95    0.95       0
       32768          8192     float    none       0    18.58    1.76    1.76       0    18.41    1.78    1.78       0
       65536         16384     float    none       0    36.07    1.82    1.82       0    36.08    1.82    1.82       0
      131072         32768     float    none       0    53.86    2.43    2.43       0    56.29    2.33    2.33       0
      262144         65536     float    none       0    62.40    4.20    4.20       0    70.61    3.71    3.71       0
      524288        131072     float    none       0    70.33    7.45    7.45       0    71.40    7.34    7.34       0
     1048576        262144     float    none       0    77.45   13.54   13.54       0    78.55   13.35   13.35       0
     2097152        524288     float    none       0    71.38   29.38   29.38       0    71.32   29.41   29.41       0
     4194304       1048576     float    none       0    93.25   44.98   44.98       0    93.40   44.90   44.90       0
     8388608       2097152     float    none       0   134.39   62.42   62.42       0   134.37   62.43   62.43       0
    16777216       4194304     float    none       0   173.43   96.74   96.74       0   173.30   96.81   96.81       0
    33554432       8388608     float    none       0   241.62  138.87  138.87       0   241.85  138.74  138.74       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 16.8894 
#
# Collective test concluded: broadcast_perf
#

