# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1446913 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1446913 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1446913 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1446913 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1446913 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1446913 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1446913 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1446913 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.73    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float    none      -1     0.73    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float    none      -1     0.73    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float    none      -1     0.74    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float    none      -1     0.73    0.00    0.00       0     0.73    0.00    0.00       0
         128             4     float    none      -1    34.16    0.00    0.00       0    33.80    0.00    0.00       0
         256             8     float    none      -1    33.84    0.01    0.01       0    33.70    0.01    0.01       0
         512            16     float    none      -1    33.72    0.02    0.01       0    33.59    0.02    0.01       0
        1024            32     float    none      -1    33.72    0.03    0.03       0    33.70    0.03    0.03       0
        2048            64     float    none      -1    33.99    0.06    0.05       0    33.94    0.06    0.05       0
        4096           128     float    none      -1    33.65    0.12    0.11       0    33.70    0.12    0.11       0
        8192           256     float    none      -1    33.25    0.25    0.22       0    32.37    0.25    0.22       0
       16384           512     float    none      -1    33.66    0.49    0.43       0    33.60    0.49    0.43       0
       32768          1024     float    none      -1    35.18    0.93    0.81       0    35.03    0.94    0.82       0
       65536          2048     float    none      -1    36.79    1.78    1.56       0    36.83    1.78    1.56       0
      131072          4096     float    none      -1    37.36    3.51    3.07       0    37.38    3.51    3.07       0
      262144          8192     float    none      -1    38.22    6.86    6.00       0    38.26    6.85    6.00       0
      524288         16384     float    none      -1    38.87   13.49   11.80       0    38.84   13.50   11.81       0
     1048576         32768     float    none      -1    38.70   27.10   23.71       0    38.69   27.10   23.71       0
     2097152         65536     float    none      -1    37.98   55.22   48.32       0    38.03   55.14   48.25       0
     4194304        131072     float    none      -1    35.73  117.38  102.71       0    36.28  115.62  101.17       0
     8388608        262144     float    none      -1    36.02  232.91  203.80       0    35.93  233.49  204.30       0
    16777216        524288     float    none      -1    52.46  319.81  279.83       0    52.45  319.85  279.87       0
    33554432       1048576     float    none      -1    97.38  344.59  301.51       0    97.39  344.54  301.47       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 40.976 
#
# Collective test concluded: all_gather_perf
#

