# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1362989 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1362989 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1362989 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1362989 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1362989 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1362989 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1362989 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1362989 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    33.76    0.00    0.00       0    33.17    0.00    0.00       0
           8             2     float     sum      -1    32.98    0.00    0.00       0    33.02    0.00    0.00       0
          16             4     float     sum      -1    33.00    0.00    0.00       0    32.92    0.00    0.00       0
          32             8     float     sum      -1    33.15    0.00    0.00       0    33.13    0.00    0.00       0
          64            16     float     sum      -1    33.33    0.00    0.00       0    33.17    0.00    0.00       0
         128            32     float     sum      -1    32.99    0.00    0.01       0    31.92    0.00    0.01       0
         256            64     float     sum      -1    31.81    0.01    0.01       0    31.68    0.01    0.01       0
         512           128     float     sum      -1    32.06    0.02    0.03       0    31.92    0.02    0.03       0
        1024           256     float     sum      -1    31.83    0.03    0.06       0    31.83    0.03    0.06       0
        2048           512     float     sum      -1    33.15    0.06    0.11       0    32.91    0.06    0.11       0
        4096          1024     float     sum      -1    34.34    0.12    0.21       0    34.14    0.12    0.21       0
        8192          2048     float     sum      -1    35.56    0.23    0.40       0    35.40    0.23    0.40       0
       16384          4096     float     sum      -1    35.77    0.46    0.80       0    35.83    0.46    0.80       0
       32768          8192     float     sum      -1    36.39    0.90    1.58       0    35.70    0.92    1.61       0
       65536         16384     float     sum      -1    36.03    1.82    3.18       0    35.82    1.83    3.20       0
      131072         32768     float     sum      -1    36.97    3.54    6.20       0    36.23    3.62    6.33       0
      262144         65536     float     sum      -1    36.91    7.10   12.43       0    38.84    6.75   11.81       0
      524288        131072     float     sum      -1    37.42   14.01   24.52       0    37.43   14.01   24.51       0
     1048576        262144     float     sum      -1    37.94   27.64   48.36       0    37.54   27.93   48.88       0
     2097152        524288     float     sum      -1    37.77   55.52   97.16       0    37.81   55.47   97.08       0
     4194304       1048576     float     sum      -1    37.87  110.76  193.84       0    37.95  110.51  193.40       0
     8388608       2097152     float     sum      -1    38.11  220.14  385.24       0    37.95  221.05  386.84       0
    16777216       4194304     float     sum      -1    70.55  237.80  416.15       0    70.44  238.19  416.83       0
    33554432       8388608     float     sum      -1   131.73  254.72  445.75       0   131.52  255.14  446.49       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 68.2219 
#
# Collective test concluded: all_reduce_perf
#

