# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1407465 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1407465 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1407465 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1407465 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1407465 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1407465 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1407465 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1407465 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.71    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.71    0.00    0.00       0     0.73    0.00    0.00    N/A
           0             0     float    none      -1     0.71    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.73    0.00    0.00       0     0.72    0.00    0.00    N/A
           0             0     float    none      -1     0.72    0.00    0.00       0     0.71    0.00    0.00    N/A
         128             4     float    none      -1    49.00    0.00    0.00       0    47.54    0.00    0.00    N/A
         256             8     float    none      -1    48.21    0.01    0.00       0    47.79    0.01    0.00    N/A
         512            16     float    none      -1    48.06    0.01    0.01       0    47.48    0.01    0.01    N/A
        1024            32     float    none      -1    48.24    0.02    0.02       0    47.40    0.02    0.02    N/A
        2048            64     float    none      -1    47.68    0.04    0.04       0    47.70    0.04    0.04    N/A
        4096           128     float    none      -1    48.22    0.08    0.07       0    47.38    0.09    0.08    N/A
        8192           256     float    none      -1    46.05    0.18    0.16       0    46.16    0.18    0.16    N/A
       16384           512     float    none      -1    46.37    0.35    0.31       0    46.33    0.35    0.31    N/A
       32768          1024     float    none      -1    46.53    0.70    0.62       0    46.28    0.71    0.62    N/A
       65536          2048     float    none      -1    46.60    1.41    1.23       0    46.17    1.42    1.24    N/A
      131072          4096     float    none      -1    46.50    2.82    2.47       0    45.91    2.86    2.50    N/A
      262144          8192     float    none      -1    48.88    5.36    4.69       0    48.21    5.44    4.76    N/A
      524288         16384     float    none      -1    48.71   10.76    9.42       0    48.30   10.86    9.50    N/A
     1048576         32768     float    none      -1    51.68   20.29   17.75       0    50.40   20.80   18.20    N/A
     2097152         65536     float    none      -1    56.37   37.21   32.56       0    55.86   37.54   32.85    N/A
     4194304        131072     float    none      -1    57.75   72.63   63.55       0    55.51   75.56   66.12    N/A
     8388608        262144     float    none      -1    56.44  148.63  130.05       0    55.99  149.82  131.09    N/A
    16777216        524288     float    none      -1    61.17  274.25  239.97       0    58.82  285.24  249.58    N/A
    33554432       1048576     float    none      -1   117.18  286.36  250.56       0   106.65  314.62  275.29    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 32.2051 
#
# Collective test concluded: alltoall_perf
#

