# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1426754 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1426754 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1426754 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1426754 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1426754 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1426754 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1426754 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1426754 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0    32.10    0.00    0.00       0    31.75    0.00    0.00       0
           8             2     float    none       0    31.73    0.00    0.00       0    31.75    0.00    0.00       0
          16             4     float    none       0    31.79    0.00    0.00       0    32.01    0.00    0.00       0
          32             8     float    none       0    31.75    0.00    0.00       0    31.97    0.00    0.00       0
          64            16     float    none       0    32.02    0.00    0.00       0    31.71    0.00    0.00       0
         128            32     float    none       0    31.47    0.00    0.00       0    30.66    0.00    0.00       0
         256            64     float    none       0    30.66    0.01    0.01       0    30.34    0.01    0.01       0
         512           128     float    none       0    30.80    0.02    0.02       0    30.48    0.02    0.02       0
        1024           256     float    none       0    30.56    0.03    0.03       0    30.34    0.03    0.03       0
        2048           512     float    none       0    30.63    0.07    0.07       0    30.53    0.07    0.07       0
        4096          1024     float    none       0    30.45    0.13    0.13       0    30.56    0.13    0.13       0
        8192          2048     float    none       0    30.72    0.27    0.27       0    30.45    0.27    0.27       0
       16384          4096     float    none       0    30.58    0.54    0.54       0    30.47    0.54    0.54       0
       32768          8192     float    none       0    30.70    1.07    1.07       0    30.44    1.08    1.08       0
       65536         16384     float    none       0    30.99    2.11    2.11       0    31.30    2.09    2.09       0
      131072         32768     float    none       0    31.82    4.12    4.12       0    31.60    4.15    4.15       0
      262144         65536     float    none       0    32.70    8.02    8.02       0    33.36    7.86    7.86       0
      524288        131072     float    none       0    34.50   15.20   15.20       0    34.48   15.20   15.20       0
     1048576        262144     float    none       0    35.88   29.22   29.22       0    35.92   29.19   29.19       0
     2097152        524288     float    none       0    38.88   53.94   53.94       0    38.86   53.97   53.97       0
     4194304       1048576     float    none       0    54.30   77.24   77.24       0    52.62   79.71   79.71       0
     8388608       2097152     float    none       0    86.16   97.36   97.36       0    87.48   95.89   95.89       0
    16777216       4194304     float    none       0   105.59  158.89  158.89       0   107.10  156.65  156.65       0
    33554432       8388608     float    none       0   147.55  227.40  227.40       0   147.22  227.92  227.92       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 28.1338 
#
# Collective test concluded: broadcast_perf
#

