# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1443734 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1443734 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1443734 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1443734 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1443734 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1443734 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1443734 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1443734 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.88    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float     sum      -1     0.72    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float     sum      -1     0.83    0.00    0.00       0     0.72    0.00    0.00       0
           0             0     float     sum      -1     0.71    0.00    0.00       0     0.74    0.00    0.00       0
           0             0     float     sum      -1     0.72    0.00    0.00       0     0.74    0.00    0.00       0
         128             4     float     sum      -1    32.62    0.00    0.00       0    32.35    0.00    0.00       0
         256             8     float     sum      -1    32.20    0.01    0.01       0    32.16    0.01    0.01       0
         512            16     float     sum      -1    32.29    0.02    0.01       0    31.97    0.02    0.01       0
        1024            32     float     sum      -1    32.30    0.03    0.03       0    32.10    0.03    0.03       0
        2048            64     float     sum      -1    32.39    0.06    0.06       0    32.18    0.06    0.06       0
        4096           128     float     sum      -1    32.13    0.13    0.11       0    32.04    0.13    0.11       0
        8192           256     float     sum      -1    31.84    0.26    0.23       0    30.80    0.27    0.23       0
       16384           512     float     sum      -1    31.71    0.52    0.45       0    31.81    0.52    0.45       0
       32768          1024     float     sum      -1    32.32    1.01    0.89       0    31.87    1.03    0.90       0
       65536          2048     float     sum      -1    33.61    1.95    1.71       0    33.62    1.95    1.71       0
      131072          4096     float     sum      -1    34.16    3.84    3.36       0    34.14    3.84    3.36       0
      262144          8192     float     sum      -1    34.96    7.50    6.56       0    35.03    7.48    6.55       0
      524288         16384     float     sum      -1    35.78   14.65   12.82       0    36.02   14.56   12.74       0
     1048576         32768     float     sum      -1    36.73   28.55   24.98       0    37.24   28.15   24.63       0
     2097152         65536     float     sum      -1    37.45   55.99   48.99       0    37.49   55.94   48.94       0
     4194304        131072     float     sum      -1    37.32  112.38   98.33       0    37.62  111.48   97.55       0
     8388608        262144     float     sum      -1    37.92  221.24  193.59       0    37.89  221.40  193.73       0
    16777216        524288     float     sum      -1    54.59  307.33  268.91       0    54.66  306.91  268.55       0
    33554432       1048576     float     sum      -1   101.69  329.98  288.74       0   100.52  333.81  292.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 39.6125 
#
# Collective test concluded: reduce_scatter_perf
#

