# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 100 iters: 200 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1346710 on h200-bar-200-075 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1346710 on h200-bar-200-075 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1346710 on h200-bar-200-075 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1346710 on h200-bar-200-075 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1346710 on h200-bar-200-075 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1346710 on h200-bar-200-075 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1346710 on h200-bar-200-075 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1346710 on h200-bar-200-075 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    33.91    0.00    0.00       0    33.82    0.00    0.00       0
           8             2     float     sum      -1    33.69    0.00    0.00       0    32.79    0.00    0.00       0
          16             4     float     sum      -1    32.41    0.00    0.00       0    32.37    0.00    0.00       0
          32             8     float     sum      -1    32.34    0.00    0.00       0    32.38    0.00    0.00       0
          64            16     float     sum      -1    32.51    0.00    0.00       0    32.38    0.00    0.00       0
         128            32     float     sum      -1    32.47    0.00    0.01       0    32.52    0.00    0.01       0
         256            64     float     sum      -1    32.48    0.01    0.01       0    32.55    0.01    0.01       0
         512           128     float     sum      -1    32.51    0.02    0.03       0    32.48    0.02    0.03       0
        1024           256     float     sum      -1    32.51    0.03    0.06       0    32.45    0.03    0.06       0
        2048           512     float     sum      -1    32.92    0.06    0.11       0    32.81    0.06    0.11       0
        4096          1024     float     sum      -1    33.60    0.12    0.21       0    33.53    0.12    0.21       0
        8192          2048     float     sum      -1    33.93    0.24    0.42       0    34.15    0.24    0.42       0
       16384          4096     float     sum      -1    34.44    0.48    0.83       0    34.31    0.48    0.84       0
       32768          8192     float     sum      -1    34.51    0.95    1.66       0    34.37    0.95    1.67       0
       65536         16384     float     sum      -1    35.00    1.87    3.28       0    34.78    1.88    3.30       0
      131072         32768     float     sum      -1    35.26    3.72    6.50       0    35.28    3.72    6.50       0
      262144         65536     float     sum      -1    35.83    7.32   12.80       0    35.98    7.29   12.75       0
      524288        131072     float     sum      -1    36.31   14.44   25.27       0    36.32   14.43   25.26       0
     1048576        262144     float     sum      -1    38.27   27.40   47.95       0    38.25   27.42   47.98       0
     2097152        524288     float     sum      -1    38.44   54.56   95.48       0    38.29   54.78   95.86       0
     4194304       1048576     float     sum      -1    50.66   82.80  144.90       0    49.40   84.91  148.59       0
     8388608       2097152     float     sum      -1    77.42  108.36  189.62       0    75.80  110.67  193.67       0
    16777216       4194304     float     sum      -1   116.99  143.41  250.97       0   114.53  146.48  256.34       0
    33554432       8388608     float     sum      -1   213.31  157.30  275.28       0   212.84  157.65  275.89       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 44.2687 
#
# Collective test concluded: all_reduce_perf
#

