Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         44.499201         0.000         0.000       
8           2         int32     sum       t         42.086399         0.000         0.000       
16          4         int32     sum       t         42.483199         0.000         0.001       
32          8         int32     sum       t         42.335999         0.001         0.001       
64          16        int32     sum       t         47.244799         0.001         0.003       
128         32        int32     sum       t         50.534397         0.003         0.005       
256         64        int32     sum       t         61.836803         0.004         0.008       
512         128       int32     sum       t         83.161598         0.006         0.012       
1024        256       int32     sum       t         122.854400        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         40.544000         0.000         0.000       
8           2         int32     prod      t         43.987200         0.000         0.000       
16          4         int32     prod      t         40.601599         0.000         0.001       
32          8         int32     prod      t         43.795201         0.001         0.001       
64          16        int32     prod      t         45.715201         0.001         0.003       
128         32        int32     prod      t         52.243203         0.002         0.005       
256         64        int32     prod      t         61.881602         0.004         0.008       
512         128       int32     prod      t         83.206397         0.006         0.012       
1024        256       int32     prod      t         122.528005        0.008         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         40.710399         0.000         0.000       
8           2         int32     and       t         42.310399         0.000         0.000       
16          4         int32     and       t         40.448001         0.000         0.001       
32          8         int32     and       t         42.271999         0.001         0.001       
64          16        int32     and       t         45.440000         0.001         0.003       
128         32        int32     and       t         50.419199         0.003         0.005       
256         64        int32     and       t         60.403198         0.004         0.008       
512         128       int32     and       t         83.065599         0.006         0.012       
1024        256       int32     and       t         122.489595        0.008         0.016       
#device_reduction
