Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         13.100800         0.000         0.001       
8           2         int32     sum       t         14.112000         0.001         0.001       
16          4         int32     sum       t         14.432000         0.001         0.002       
32          8         int32     sum       t         14.233600         0.002         0.004       
64          16        int32     sum       t         15.859200         0.004         0.007       
128         32        int32     sum       t         19.129600         0.007         0.012       
256         64        int32     sum       t         27.315199         0.009         0.016       
512         128       int32     sum       t         43.628800         0.012         0.021       
1024        256       int32     sum       t         76.486403         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.524800         0.000         0.001       
8           2         int32     prod      t         12.601601         0.001         0.001       
16          4         int32     prod      t         12.505600         0.001         0.002       
32          8         int32     prod      t         14.144000         0.002         0.004       
64          16        int32     prod      t         15.795200         0.004         0.007       
128         32        int32     prod      t         20.671999         0.006         0.011       
256         64        int32     prod      t         27.206400         0.009         0.016       
512         128       int32     prod      t         45.286399         0.011         0.020       
1024        256       int32     prod      t         77.977598         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.396800         0.000         0.001       
8           2         int32     and       t         14.163201         0.001         0.001       
16          4         int32     and       t         14.041600         0.001         0.002       
32          8         int32     and       t         14.028800         0.002         0.004       
64          16        int32     and       t         15.712000         0.004         0.007       
128         32        int32     and       t         20.768000         0.006         0.011       
256         64        int32     and       t         27.481601         0.009         0.016       
512         128       int32     and       t         45.120001         0.011         0.020       
1024        256       int32     and       t         77.894402         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.422400         0.000         0.001       
8           2         int32     or        t         12.505600         0.001         0.001       
16          4         int32     or        t         12.665600         0.001         0.002       
32          8         int32     or        t         14.028800         0.002         0.004       
64          16        int32     or        t         15.878400         0.004         0.007       
128         32        int32     or        t         19.142400         0.007         0.012       
256         64        int32     or        t         28.908801         0.009         0.015       
512         128       int32     or        t         45.273599         0.011         0.020       
1024        256       int32     or        t         77.926397         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         13.952000         0.000         0.001       
8           2         int32     xor       t         12.492800         0.001         0.001       
16          4         int32     xor       t         12.601601         0.001         0.002       
32          8         int32     xor       t         14.252800         0.002         0.004       
64          16        int32     xor       t         15.731201         0.004         0.007       
128         32        int32     xor       t         20.582400         0.006         0.011       
256         64        int32     xor       t         28.972799         0.009         0.015       
512         128       int32     xor       t         43.711999         0.012         0.020       
1024        256       int32     xor       t         77.990401         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         12.422400         0.000         0.001       
8           2         int32     min       t         12.416000         0.001         0.001       
16          4         int32     min       t         14.233600         0.001         0.002       
32          8         int32     min       t         14.201599         0.002         0.004       
64          16        int32     min       t         15.750401         0.004         0.007       
128         32        int32     min       t         19.072001         0.007         0.012       
256         64        int32     min       t         28.716800         0.009         0.016       
512         128       int32     min       t         45.311999         0.011         0.020       
1024        256       int32     min       t         78.105599         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         12.435200         0.000         0.001       
8           2         int32     max       t         12.422400         0.001         0.001       
16          4         int32     max       t         12.582400         0.001         0.002       
32          8         int32     max       t         14.124800         0.002         0.004       
64          16        int32     max       t         15.916800         0.004         0.007       
128         32        int32     max       t         19.142400         0.007         0.012       
256         64        int32     max       t         28.838399         0.009         0.016       
512         128       int32     max       t         45.235199         0.011         0.020       
1024        256       int32     max       t         78.060800         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         12.627199         0.001         0.001       
16          2         int64     sum       t         12.448000         0.001         0.002       
32          4         int64     sum       t         13.990401         0.002         0.004       
64          8         int64     sum       t         14.137600         0.005         0.008       
128         16        int64     sum       t         17.459200         0.007         0.013       
256         32        int64     sum       t         24.044800         0.011         0.019       
512         64        int64     sum       t         35.449600         0.014         0.025       
1024        128       int64     sum       t         59.948802         0.017         0.030       
2048        256       int64     sum       t         109.158397        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
