Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_get_bw_uni
size(B)     scope     BW (GB/sec)     
4           None      0.001736        
8           None      0.003672        
16          None      0.007362        
32          None      0.014745        
64          None      0.029568        
128         None      0.057937        
256         None      0.026545        
512         None      0.050933        
1024        None      0.103822        
2048        None      0.210277        
4096        None      0.426610        
8192        None      0.869920        
16384       None      1.658031        
32768       None      3.264265        
65536       None      6.688439        
131072      None      13.484329       
262144      None      27.261230       
524288      None      45.227184       
1048576     None      47.558784       
2097152     None      48.058193       
4194304     None      48.321117       
8388608     None      48.429852       
16777216    None      48.506020       
33554432    None      48.536240       
