Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_atomic_inc
size(B)     scope     BW (GB/sec)     
4           None      0.003093        
8           None      0.004116        
16          None      0.008213        
32          None      0.016324        
64          None      0.032605        
128         None      0.064516        
256         None      0.128329        
512         None      0.256082        
1024        None      0.509716        
2048        None      1.025641        
4096        None      2.031746        
8192        None      4.015056        
16384       None      7.918343        
32768       None      15.152413       
65536       None      29.586824       
131072      None      54.453602       
262144      None      92.606827       
524288      None      145.093857      
1048576     None      200.661362      
2097152     None      243.664490      
4194304     None      257.549316      
8388608     None      263.418945      
16777216    None      265.868835      
33554432    None      268.054596      
