Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_put_bw_uni
size(B)     scope     BW (GB/sec)     
4           None      0.002560        
8           None      0.005213        
16          None      0.010412        
32          None      0.020764        
64          None      0.041649        
128         None      0.083264        
256         None      0.143010        
512         None      0.286225        
1024        None      0.574300        
2048        None      1.144902        
4096        None      2.284083        
8192        None      4.614275        
16384       None      9.205322        
32768       None      18.233618       
65536       None      36.415363       
131072      None      70.065002       
262144      None      114.158302      
524288      None      173.082611      
1048576     None      233.490097      
2097152     None      262.060150      
4194304     None      277.354095      
8388608     None      294.636505      
16777216    None      295.753418      
33554432    None      305.595032      
