Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 20, warmup iterations: 5, number of ctas: 64, threads per cta: 1024 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 20, warmup iterations: 5, number of ctas: 64, threads per cta: 1024 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_p_bw
size(B)     scope     BW (GB/sec)     
4           None      0.000452        
8           None      0.000883        
16          None      0.001777        
32          None      0.003343        
64          None      0.006262        
128         None      0.012816        
256         None      0.023310        
512         None      0.043609        
1024        None      0.073869        
2048        None      0.125441        
4096        None      0.191316        
8192        None      0.386298        
16384       None      0.769578        
32768       None      1.523810        
65536       None      2.995466        
131072      None      5.772266        
262144      None      10.591505       
524288      None      11.943433       
1048576     None      14.091641       
2097152     None      14.978971       
4194304     None      15.193408       
8388608     None      15.010321       
16777216    None      14.742285       
33554432    None      14.225753       
