Runtime options after parsing command line arguments 
min_size: 4, max_size: 16777216, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 16777216, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_put_bw_uni
size(B)     scope     BW (GB/sec)     
4           None      0.001875        
8           None      0.003773        
16          None      0.007576        
32          None      0.015323        
64          None      0.030534        
128         None      0.061031        
256         None      0.030105        
512         None      0.062141        
1024        None      0.126103        
2048        None      0.254291        
4096        None      0.514139        
8192        None      1.023918        
16384       None      2.031424        
32768       None      4.097639        
65536       None      8.112176        
131072      None      16.476267       
262144      None      32.681721       
524288      None      45.711735       
1048576     None      47.165848       
2097152     None      47.851864       
4194304     None      48.129845       
8388608     None      48.267914       
16777216    None      48.330292       
