Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_g_bw
size(B)     scope     BW (GB/sec)     
4           None      0.001847        
8           None      0.003739        
16          None      0.007494        
32          None      0.014966        
64          None      0.029586        
128         None      0.059506        
256         None      0.118483        
512         None      0.240674        
1024        None      0.482364        
2048        None      0.954369        
4096        None      1.760176        
8192        None      3.503969        
16384       None      5.060288        
32768       None      6.498287        
65536       None      7.444025        
131072      None      8.074755        
262144      None      8.420361        
524288      None      8.622432        
1048576     None      8.727707        
2097152     None      8.779243        
4194304     None      8.806211        
8388608     None      8.823255        
16777216    None      7.272488        
33554432    None      7.272687        
