Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Size(Bytes) 		 BWGB/sec
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
#shmem_st_bw
size(B)     scope     BW (GB/sec)     
4           None      0.003094        
8           None      0.006056        
16          None      0.012297        
32          None      0.024390        
64          None      0.048804        
128         None      0.096993        
256         None      0.193424        
512         None      0.387973        
1024        None      0.766651        
2048        None      1.519468        
4096        None      3.069544        
8192        None      6.083651        
16384       None      12.092584       
32768       None      23.681778       
65536       None      43.948494       
131072      None      78.678444       
262144      None      128.160202      
524288      None      187.288528      
1048576     None      242.295197      
2097152     None      283.533783      
4194304     None      311.364502      
8388608     None      327.352631      
16777216    None      336.129486      
33554432    None      337.325409      
