# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 100 iters: 200 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1370658 on h200-bar-201-247 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1370658 on h200-bar-201-247 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1370658 on h200-bar-201-247 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1370658 on h200-bar-201-247 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1370658 on h200-bar-201-247 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1370658 on h200-bar-201-247 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1370658 on h200-bar-201-247 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1370658 on h200-bar-201-247 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    31.85    0.00    0.00       0    31.82    0.00    0.00       0
           8             2     float     sum      -1    32.09    0.00    0.00       0    32.27    0.00    0.00       0
          16             4     float     sum      -1    31.94    0.00    0.00       0    31.92    0.00    0.00       0
          32             8     float     sum      -1    31.97    0.00    0.00       0    31.88    0.00    0.00       0
          64            16     float     sum      -1    31.97    0.00    0.00       0    31.94    0.00    0.00       0
         128            32     float     sum      -1    32.20    0.00    0.01       0    32.15    0.00    0.01       0
         256            64     float     sum      -1    32.29    0.01    0.01       0    32.27    0.01    0.01       0
         512           128     float     sum      -1    32.30    0.02    0.03       0    32.63    0.02    0.03       0
        1024           256     float     sum      -1    32.85    0.03    0.05       0    33.08    0.03    0.05       0
        2048           512     float     sum      -1    34.15    0.06    0.10       0    33.99    0.06    0.11       0
        4096          1024     float     sum      -1    35.18    0.12    0.20       0    35.51    0.12    0.20       0
        8192          2048     float     sum      -1    36.59    0.22    0.39       0    36.66    0.22    0.39       0
       16384          4096     float     sum      -1    37.34    0.44    0.77       0    37.59    0.44    0.76       0
       32768          8192     float     sum      -1    38.47    0.85    1.49       0    38.94    0.84    1.47       0
       65536         16384     float     sum      -1    39.35    1.67    2.91       0    38.33    1.71    2.99       0
      131072         32768     float     sum      -1    37.18    3.53    6.17       0    36.59    3.58    6.27       0
      262144         65536     float     sum      -1    36.45    7.19   12.58       0    36.56    7.17   12.55       0
      524288        131072     float     sum      -1    34.47   15.21   26.62       0    34.45   15.22   26.63       0
     1048576        262144     float     sum      -1    34.82   30.11   52.70       0    35.91   29.20   51.10       0
     2097152        524288     float     sum      -1    34.68   60.47  105.82       0    34.70   60.43  105.76       0
     4194304       1048576     float     sum      -1    34.52  121.51  212.64       0    34.46  121.70  212.98       0
     8388608       2097152     float     sum      -1    38.95  215.39  376.93       0    50.57  165.89  290.31       0
    16777216       4194304     float     sum      -1    69.98  239.74  419.54       0    69.77  240.46  420.80       0
    33554432       8388608     float     sum      -1   131.18  255.79  447.63       0   130.82  256.49  448.85       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 67.6642 
#
# Collective test concluded: all_reduce_perf
#

