Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       t         61.891198         0.001         0.001       
128         32        int32     sum       t         62.396801         0.002         0.002       
256         64        int32     sum       t         62.470400         0.004         0.004       
512         128       int32     sum       t         61.843199         0.008         0.008       
1024        256       int32     sum       t         61.577600         0.017         0.016       
2048        512       int32     sum       t         61.420798         0.033         0.031       
4096        1024      int32     sum       t         62.105602         0.066         0.062       
8192        2048      int32     sum       t         61.635202         0.133         0.125       
16384       4096      int32     sum       t         62.054402         0.264         0.248       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      t         62.793601         0.001         0.001       
128         32        int32     prod      t         63.488001         0.002         0.002       
256         64        int32     prod      t         61.404800         0.004         0.004       
512         128       int32     prod      t         61.161602         0.008         0.008       
1024        256       int32     prod      t         62.598401         0.016         0.015       
2048        512       int32     prod      t         62.272000         0.033         0.031       
4096        1024      int32     prod      t         61.059201         0.067         0.063       
8192        2048      int32     prod      t         61.801600         0.133         0.124       
16384       4096      int32     prod      t         61.283201         0.267         0.251       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       t         62.486398         0.001         0.001       
128         32        int32     and       t         61.609602         0.002         0.002       
256         64        int32     and       t         62.624002         0.004         0.004       
512         128       int32     and       t         62.054402         0.008         0.008       
1024        256       int32     and       t         61.731201         0.017         0.016       
2048        512       int32     and       t         64.236802         0.032         0.030       
4096        1024      int32     and       t         61.872000         0.066         0.062       
8192        2048      int32     and       t         61.884803         0.132         0.124       
16384       4096      int32     and       t         61.423999         0.267         0.250       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        t         62.339199         0.001         0.001       
128         32        int32     or        t         61.785603         0.002         0.002       
256         64        int32     or        t         61.238402         0.004         0.004       
512         128       int32     or        t         61.708802         0.008         0.008       
1024        256       int32     or        t         61.865598         0.017         0.016       
2048        512       int32     or        t         62.073600         0.033         0.031       
4096        1024      int32     or        t         61.868799         0.066         0.062       
8192        2048      int32     or        t         60.886401         0.135         0.126       
16384       4096      int32     or        t         62.102401         0.264         0.247       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     xor       t         61.769599         0.001         0.001       
128         32        int32     xor       t         61.558402         0.002         0.002       
256         64        int32     xor       t         61.747199         0.004         0.004       
512         128       int32     xor       t         62.441599         0.008         0.008       
1024        256       int32     xor       t         62.342399         0.016         0.015       
2048        512       int32     xor       t         61.305600         0.033         0.031       
4096        1024      int32     xor       t         61.113602         0.067         0.063       
8192        2048      int32     xor       t         61.536002         0.133         0.125       
