Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       t         61.695999         0.001         0.001       
128         32        int32     sum       t         60.774398         0.002         0.002       
256         64        int32     sum       t         60.508800         0.004         0.004       
512         128       int32     sum       t         61.161602         0.008         0.008       
1024        256       int32     sum       t         61.180800         0.017         0.016       
2048        512       int32     sum       t         60.547203         0.034         0.032       
4096        1024      int32     sum       t         60.316801         0.068         0.064       
8192        2048      int32     sum       t         61.408001         0.133         0.125       
16384       4096      int32     sum       t         60.646403         0.270         0.253       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      t         60.918403         0.001         0.001       
128         32        int32     prod      t         61.004800         0.002         0.002       
256         64        int32     prod      t         59.875202         0.004         0.004       
512         128       int32     prod      t         60.496002         0.008         0.008       
1024        256       int32     prod      t         60.159999         0.017         0.016       
2048        512       int32     prod      t         60.527998         0.034         0.032       
4096        1024      int32     prod      t         60.822397         0.067         0.063       
8192        2048      int32     prod      t         61.523199         0.133         0.125       
16384       4096      int32     prod      t         60.035199         0.273         0.256       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       t         60.960001         0.001         0.001       
128         32        int32     and       t         60.201597         0.002         0.002       
256         64        int32     and       t         60.758400         0.004         0.004       
512         128       int32     and       t         62.467200         0.008         0.008       
1024        256       int32     and       t         59.487998         0.017         0.016       
2048        512       int32     and       t         59.750402         0.034         0.032       
4096        1024      int32     and       t         60.182399         0.068         0.064       
8192        2048      int32     and       t         60.108799         0.136         0.128       
16384       4096      int32     and       t         60.038400         0.273         0.256       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        t         60.505599         0.001         0.001       
128         32        int32     or        t         60.076803         0.002         0.002       
256         64        int32     or        t         60.431999         0.004         0.004       
512         128       int32     or        t         59.788799         0.009         0.008       
1024        256       int32     or        t         60.710400         0.017         0.016       
2048        512       int32     or        t         60.972798         0.034         0.031       
4096        1024      int32     or        t         60.342401         0.068         0.064       
8192        2048      int32     or        t         61.644799         0.133         0.125       
16384       4096      int32     or        t         62.006402         0.264         0.248       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
