Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         38.486400         0.000         0.000       
8           2         int32     sum       t         39.036801         0.000         0.000       
16          4         int32     sum       t         38.252801         0.000         0.001       
32          8         int32     sum       t         39.840001         0.001         0.002       
64          16        int32     sum       t         42.348799         0.002         0.003       
128         32        int32     sum       t         220.854402        0.001         0.001       
256         64        int32     sum       t         57.840002         0.004         0.008       
512         128       int32     sum       t         78.307199         0.007         0.012       
1024        256       int32     sum       t         119.334400        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         38.147199         0.000         0.000       
8           2         int32     prod      t         38.220799         0.000         0.000       
16          4         int32     prod      t         38.211200         0.000         0.001       
32          8         int32     prod      t         39.798400         0.001         0.002       
64          16        int32     prod      t         42.355201         0.002         0.003       
128         32        int32     prod      t         47.196800         0.003         0.005       
256         64        int32     prod      t         57.852799         0.004         0.008       
512         128       int32     prod      t         78.358400         0.007         0.012       
1024        256       int32     prod      t         119.228804        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         38.185599         0.000         0.000       
8           2         int32     and       t         39.030400         0.000         0.000       
16          4         int32     and       t         38.166401         0.000         0.001       
32          8         int32     and       t         40.582401         0.001         0.001       
64          16        int32     and       t         42.259201         0.002         0.003       
128         32        int32     and       t         47.222400         0.003         0.005       
256         64        int32     and       t         57.865602         0.004         0.008       
512         128       int32     and       t         78.294402         0.007         0.012       
1024        256       int32     and       t         120.182395        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         38.918400         0.000         0.000       
8           2         int32     or        t         39.091200         0.000         0.000       
16          4         int32     or        t         39.084801         0.000         0.001       
32          8         int32     or        t         39.059201         0.001         0.002       
