Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         38.614401         0.000         0.000       
8           2         int32     sum       t         38.758400         0.000         0.000       
16          4         int32     sum       t         38.470399         0.000         0.001       
32          8         int32     sum       t         40.835199         0.001         0.001       
64          16        int32     sum       t         41.625601         0.002         0.003       
128         32        int32     sum       t         47.273600         0.003         0.005       
256         64        int32     sum       t         57.139200         0.004         0.008       
512         128       int32     sum       t         78.495997         0.007         0.012       
1024        256       int32     sum       t         119.468796        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         38.288000         0.000         0.000       
8           2         int32     prod      t         38.348800         0.000         0.000       
16          4         int32     prod      t         38.380799         0.000         0.001       
32          8         int32     prod      t         39.072001         0.001         0.002       
64          16        int32     prod      t         41.651201         0.002         0.003       
128         32        int32     prod      t         46.588799         0.003         0.005       
256         64        int32     prod      t         57.088000         0.004         0.008       
512         128       int32     prod      t         78.479999         0.007         0.012       
1024        256       int32     prod      t         119.347203        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         38.367999         0.000         0.000       
8           2         int32     and       t         39.171201         0.000         0.000       
16          4         int32     and       t         38.345599         0.000         0.001       
32          8         int32     and       t         39.948800         0.001         0.002       
64          16        int32     and       t         41.606399         0.002         0.003       
128         32        int32     and       t         46.601599         0.003         0.005       
256         64        int32     and       t         57.187200         0.004         0.008       
512         128       int32     and       t         78.464001         0.007         0.012       
1024        256       int32     and       t         119.417596        0.009         0.016       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         38.256001         0.000         0.000       
8           2         int32     or        t         38.403201         0.000         0.000       
16          4         int32     or        t         39.216000         0.000         0.001       
32          8         int32     or        t         39.952001         0.001         0.002       
64          16        int32     or        t         42.387199         0.002         0.003       
128         32        int32     or        t         46.524799         0.003         0.005       
256         64        int32     or        t         57.126403         0.004         0.008       
512         128       int32     or        t         77.686399         0.007         0.012       
1024        256       int32     or        t         119.414401        0.009         0.016       
#device_reduction
