Runtime options after parsing command line arguments 
min_size: 65536, max_size: 65536, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#fcollect_device
size(B)     count     type      scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
#fcollect_device
size(B)     count     type      scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
#fcollect_device
size(B)     count     type      scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           2         32-bit    block     5.702400          0.001         0.001       
16          4         32-bit    block     3.756800          0.004         0.002       
32          8         32-bit    block     3.849600          0.008         0.004       
64          16        32-bit    block     3.804800          0.017         0.008       
128         32        32-bit    block     3.827200          0.033         0.017       
256         64        32-bit    block     3.734400          0.069         0.034       
512         128       32-bit    block     3.801600          0.135         0.067       
1024        256       32-bit    block     3.788800          0.270         0.135       
2048        512       32-bit    block     5.420800          0.378         0.189       
4096        1024      32-bit    block     5.468800          0.749         0.374       
8192        2048      32-bit    block     6.240000          1.313         0.656       
16384       4096      32-bit    block     6.208000          2.639         1.320       
32768       8192      32-bit    block     6.214400          5.273         2.636       
65536       16384     32-bit    block     7.916800          8.278         4.139       
#fcollect_device
size(B)     count     type      scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
16          2         64-bit    thread    4.604800          0.003         0.002       
32          4         64-bit    thread    4.556800          0.007         0.004       
64          8         64-bit    thread    4.620800          0.014         0.007       
128         16        64-bit    thread    5.315200          0.024         0.012       
256         32        64-bit    thread    5.491200          0.047         0.023       
512         64        64-bit    thread    6.224000          0.082         0.041       
1024        128       64-bit    thread    7.052800          0.145         0.073       
2048        256       64-bit    thread    10.307200         0.199         0.099       
4096        512       64-bit    thread    16.070400         0.255         0.127       
#fcollect_device
size(B)     count     type      scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
16          2         64-bit    warp      5.398400          0.003         0.001       
32          4         64-bit    warp      3.766400          0.008         0.004       
64          8         64-bit    warp      3.782400          0.017         0.008       
128         16        64-bit    warp      3.728000          0.034         0.017       
256         32        64-bit    warp      3.747200          0.068         0.034       
512         64        64-bit    warp      3.753600          0.136         0.068       
1024        128       64-bit    warp      3.820800          0.268         0.134       
2048        256       64-bit    warp      6.240000          0.328         0.164       
4096        512       64-bit    warp      8.684800          0.472         0.236       
8192        1024      64-bit    warp      7.049600          1.162         0.581       
16384       2048      64-bit    warp      7.894400          2.075         1.038       
32768       4096      64-bit    warp      11.136000         2.943         1.471       
#fcollect_device
size(B)     count     type      scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
16          2         64-bit    block     6.460800          0.002         0.001       
32          4         64-bit    block     3.776000          0.008         0.004       
64          8         64-bit    block     3.715200          0.017         0.009       
128         16        64-bit    block     3.782400          0.034         0.017       
256         32        64-bit    block     3.830400          0.067         0.033       
512         64        64-bit    block     3.724800          0.137         0.069       
1024        128       64-bit    block     3.737600          0.274         0.137       
2048        256       64-bit    block     5.398400          0.379         0.190       
4096        512       64-bit    block     5.427200          0.755         0.377       
8192        1024      64-bit    block     6.275200          1.305         0.653       
16384       2048      64-bit    block     6.214400          2.636         1.318       
32768       4096      64-bit    block     7.043200          4.652         2.326       
Runtime options after parsing command line arguments 
min_size: 65536, max_size: 65536, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
