Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       t         5.862400          0.005         0.005       
64          16        int32     sum       t         5.545600          0.012         0.010       
128         32        int32     sum       t         5.849600          0.022         0.019       
256         64        int32     sum       t         5.625600          0.046         0.040       
512         128       int32     sum       t         5.958400          0.086         0.075       
1024        256       int32     sum       t         5.552000          0.184         0.161       
2048        512       int32     sum       t         5.529600          0.370         0.324       
4096        1024      int32     sum       t         5.859200          0.699         0.612       
8192        2048      int32     sum       t         5.523200          1.483         1.298       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      t         11.200000         0.003         0.002       
64          16        int32     prod      t         10.956800         0.006         0.005       
128         32        int32     prod      t         10.912000         0.012         0.010       
256         64        int32     prod      t         10.851200         0.024         0.021       
512         128       int32     prod      t         11.033600         0.046         0.041       
1024        256       int32     prod      t         10.966400         0.093         0.082       
2048        512       int32     prod      t         10.918400         0.188         0.164       
4096        1024      int32     prod      t         10.883200         0.376         0.329       
8192        2048      int32     prod      t         10.924800         0.750         0.656       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       t         5.894400          0.005         0.005       
64          16        int32     and       t         5.929600          0.011         0.009       
128         32        int32     and       t         5.395200          0.024         0.021       
256         64        int32     and       t         5.523200          0.046         0.041       
512         128       int32     and       t         5.539200          0.092         0.081       
1024        256       int32     and       t         5.462400          0.187         0.164       
2048        512       int32     and       t         5.568000          0.368         0.322       
4096        1024      int32     and       t         5.516800          0.742         0.650       
8192        2048      int32     and       t         5.500800          1.489         1.303       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        t         5.520000          0.006         0.005       
64          16        int32     or        t         5.564800          0.012         0.010       
128         32        int32     or        t         5.510400          0.023         0.020       
256         64        int32     or        t         5.433600          0.047         0.041       
512         128       int32     or        t         5.536000          0.092         0.081       
1024        256       int32     or        t         5.548800          0.185         0.161       
2048        512       int32     or        t         5.568000          0.368         0.322       
4096        1024      int32     or        t         5.488000          0.746         0.653       
8192        2048      int32     or        t         5.504000          1.488         1.302       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       t         5.539200          0.006         0.005       
64          16        int32     xor       t         6.003200          0.011         0.009       
128         32        int32     xor       t         5.513600          0.023         0.020       
256         64        int32     xor       t         5.868800          0.044         0.038       
512         128       int32     xor       t         5.440000          0.094         0.082       
1024        256       int32     xor       t         5.513600          0.186         0.163       
2048        512       int32     xor       t         5.673600          0.361         0.316       
4096        1024      int32     xor       t         6.131200          0.668         0.585       
8192        2048      int32     xor       t         5.468800          1.498         1.311       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     min       t         5.481600          0.006         0.005       
64          16        int32     min       t         5.475200          0.012         0.010       
128         32        int32     min       t         5.468800          0.023         0.020       
256         64        int32     min       t         5.532800          0.046         0.040       
512         128       int32     min       t         5.523200          0.093         0.081       
1024        256       int32     min       t         5.430400          0.189         0.165       
2048        512       int32     min       t         5.593600          0.366         0.320       
4096        1024      int32     min       t         5.936000          0.690         0.604       
8192        2048      int32     min       t         5.606400          1.461         1.279       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     max       t         5.513600          0.006         0.005       
64          16        int32     max       t         5.865600          0.011         0.010       
128         32        int32     max       t         5.526400          0.023         0.020       
256         64        int32     max       t         5.408000          0.047         0.041       
512         128       int32     max       t         5.574400          0.092         0.080       
1024        256       int32     max       t         5.923200          0.173         0.151       
2048        512       int32     max       t         5.436800          0.377         0.330       
4096        1024      int32     max       t         5.459200          0.750         0.657       
8192        2048      int32     max       t         5.609600          1.460         1.278       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     sum       t         5.568000          0.011         0.010       
128         16        int64     sum       t         5.494400          0.023         0.020       
256         32        int64     sum       t         5.500800          0.047         0.041       
512         64        int64     sum       t         5.760000          0.089         0.078       
1024        128       int64     sum       t         5.584000          0.183         0.160       
2048        256       int64     sum       t         5.584000          0.367         0.321       
4096        512       int64     sum       t         5.523200          0.742         0.649       
8192        1024      int64     sum       t         5.520000          1.484         1.299       
16384       2048      int64     sum       t         5.513600          2.972         2.600       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     prod      t         11.040000         0.006         0.005       
128         16        int64     prod      t         10.924800         0.012         0.010       
256         32        int64     prod      t         10.838400         0.024         0.021       
512         64        int64     prod      t         11.132800         0.046         0.040       
1024        128       int64     prod      t         10.812800         0.095         0.083       
2048        256       int64     prod      t         11.248000         0.182         0.159       
4096        512       int64     prod      t         10.976000         0.373         0.327       
8192        1024      int64     prod      t         10.873600         0.753         0.659       
16384       2048      int64     prod      t         10.857600         1.509         1.320       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     and       t         5.660800          0.011         0.010       
128         16        int64     and       t         5.510400          0.023         0.020       
256         32        int64     and       t         5.817600          0.044         0.039       
512         64        int64     and       t         5.392000          0.095         0.083       
1024        128       int64     and       t         5.465600          0.187         0.164       
2048        256       int64     and       t         5.478400          0.374         0.327       
4096        512       int64     and       t         5.430400          0.754         0.660       
8192        1024      int64     and       t         5.452800          1.502         1.315       
16384       2048      int64     and       t         5.427200          3.019         2.642       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     or        t         5.478400          0.012         0.010       
128         16        int64     or        t         5.545600          0.023         0.020       
256         32        int64     or        t         5.795200          0.044         0.039       
512         64        int64     or        t         5.497600          0.093         0.081       
1024        128       int64     or        t         5.436800          0.188         0.165       
2048        256       int64     or        t         5.491200          0.373         0.326       
4096        512       int64     or        t         5.804800          0.706         0.617       
8192        1024      int64     or        t         5.468800          1.498         1.311       
16384       2048      int64     or        t         5.491200          2.984         2.611       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     xor       t         5.433600          0.012         0.010       
128         16        int64     xor       t         5.440000          0.024         0.021       
256         32        int64     xor       t         5.520000          0.046         0.041       
