Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       t         11.481600         0.003         0.002       
64          16        int32     sum       t         11.244800         0.006         0.005       
128         32        int32     sum       t         11.609600         0.011         0.010       
256         64        int32     sum       t         11.388800         0.022         0.020       
512         128       int32     sum       t         11.856000         0.043         0.038       
1024        256       int32     sum       t         11.180800         0.092         0.080       
2048        512       int32     sum       t         11.481600         0.178         0.156       
4096        1024      int32     sum       t         11.555200         0.354         0.310       
8192        2048      int32     sum       t         11.302400         0.725         0.634       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      t         10.924800         0.003         0.003       
64          16        int32     prod      t         10.860800         0.006         0.005       
128         32        int32     prod      t         10.825600         0.012         0.010       
256         64        int32     prod      t         10.921600         0.023         0.021       
512         128       int32     prod      t         10.969600         0.047         0.041       
1024        256       int32     prod      t         10.880000         0.094         0.082       
2048        512       int32     prod      t         10.908800         0.188         0.164       
4096        1024      int32     prod      t         10.857600         0.377         0.330       
8192        2048      int32     prod      t         10.841600         0.756         0.661       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       t         11.129600         0.003         0.003       
64          16        int32     and       t         11.158400         0.006         0.005       
128         32        int32     and       t         11.116800         0.012         0.010       
256         64        int32     and       t         11.081600         0.023         0.020       
512         128       int32     and       t         11.036800         0.046         0.041       
1024        256       int32     and       t         11.206400         0.091         0.080       
2048        512       int32     and       t         11.126400         0.184         0.161       
4096        1024      int32     and       t         11.052800         0.371         0.324       
8192        2048      int32     and       t         11.203200         0.731         0.640       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        t         11.072000         0.003         0.003       
64          16        int32     or        t         11.174400         0.006         0.005       
128         32        int32     or        t         11.340800         0.011         0.010       
256         64        int32     or        t         11.097600         0.023         0.020       
512         128       int32     or        t         11.091200         0.046         0.040       
1024        256       int32     or        t         11.062400         0.093         0.081       
2048        512       int32     or        t         11.187200         0.183         0.160       
4096        1024      int32     or        t         11.164800         0.367         0.321       
8192        2048      int32     or        t         11.094400         0.738         0.646       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       t         11.065600         0.003         0.003       
64          16        int32     xor       t         11.052800         0.006         0.005       
128         32        int32     xor       t         11.164800         0.011         0.010       
256         64        int32     xor       t         11.107200         0.023         0.020       
512         128       int32     xor       t         11.190400         0.046         0.040       
1024        256       int32     xor       t         11.046400         0.093         0.081       
2048        512       int32     xor       t         11.062400         0.185         0.162       
4096        1024      int32     xor       t         11.132800         0.368         0.322       
8192        2048      int32     xor       t         11.049600         0.741         0.649       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     min       t         11.116800         0.003         0.003       
64          16        int32     min       t         11.030400         0.006         0.005       
128         32        int32     min       t         11.136000         0.011         0.010       
256         64        int32     min       t         11.148800         0.023         0.020       
512         128       int32     min       t         11.033600         0.046         0.041       
1024        256       int32     min       t         11.049600         0.093         0.081       
2048        512       int32     min       t         11.113600         0.184         0.161       
4096        1024      int32     min       t         11.212800         0.365         0.320       
8192        2048      int32     min       t         11.264000         0.727         0.636       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     max       t         11.088000         0.003         0.003       
64          16        int32     max       t         11.116800         0.006         0.005       
128         32        int32     max       t         11.104000         0.012         0.010       
256         64        int32     max       t         11.382400         0.022         0.020       
512         128       int32     max       t         11.132800         0.046         0.040       
1024        256       int32     max       t         11.308800         0.091         0.079       
2048        512       int32     max       t         11.472000         0.179         0.156       
4096        1024      int32     max       t         11.196800         0.366         0.320       
8192        2048      int32     max       t         11.158400         0.734         0.642       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     sum       t         11.248000         0.006         0.005       
128         16        int64     sum       t         11.148800         0.011         0.010       
256         32        int64     sum       t         11.216000         0.023         0.020       
512         64        int64     sum       t         11.219200         0.046         0.040       
1024        128       int64     sum       t         11.312000         0.091         0.079       
2048        256       int64     sum       t         11.241600         0.182         0.159       
4096        512       int64     sum       t         11.168000         0.367         0.321       
8192        1024      int64     sum       t         11.347200         0.722         0.632       
16384       2048      int64     sum       t         11.676800         1.403         1.228       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     prod      t         10.892800         0.006         0.005       
128         16        int64     prod      t         10.825600         0.012         0.010       
256         32        int64     prod      t         10.771200         0.024         0.021       
512         64        int64     prod      t         11.155200         0.046         0.040       
1024        128       int64     prod      t         10.825600         0.095         0.083       
2048        256       int64     prod      t         10.928000         0.187         0.164       
4096        512       int64     prod      t         10.857600         0.377         0.330       
8192        1024      int64     prod      t         11.068800         0.740         0.648       
16384       2048      int64     prod      t         11.129600         1.472         1.288       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     and       t         11.308800         0.006         0.005       
128         16        int64     and       t         11.136000         0.011         0.010       
256         32        int64     and       t         11.065600         0.023         0.020       
