Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         12.249600         0.000         0.001       
8           2         int32     sum       t         12.035200         0.001         0.001       
16          4         int32     sum       t         12.083200         0.001         0.002       
32          8         int32     sum       t         12.873600         0.002         0.004       
64          16        int32     sum       t         14.537600         0.004         0.008       
128         32        int32     sum       t         18.588801         0.007         0.012       
256         64        int32     sum       t         27.580801         0.009         0.016       
512         128       int32     sum       t         43.939200         0.012         0.020       
1024        256       int32     sum       t         76.755202         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         12.006400         0.000         0.001       
8           2         int32     prod      t         11.968000         0.001         0.001       
16          4         int32     prod      t         12.000000         0.001         0.002       
32          8         int32     prod      t         12.822400         0.002         0.004       
64          16        int32     prod      t         14.483200         0.004         0.008       
128         32        int32     prod      t         18.595199         0.007         0.012       
256         64        int32     prod      t         27.555200         0.009         0.016       
512         128       int32     prod      t         44.012800         0.012         0.020       
1024        256       int32     prod      t         76.687998         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.041600         0.000         0.001       
8           2         int32     and       t         12.044800         0.001         0.001       
16          4         int32     and       t         11.993600         0.001         0.002       
32          8         int32     and       t         12.873600         0.002         0.004       
64          16        int32     and       t         15.264000         0.004         0.007       
128         32        int32     and       t         19.375999         0.007         0.012       
256         64        int32     and       t         27.606401         0.009         0.016       
512         128       int32     and       t         43.926400         0.012         0.020       
1024        256       int32     and       t         76.700801         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         11.990400         0.000         0.001       
8           2         int32     or        t         12.147200         0.001         0.001       
16          4         int32     or        t         12.054400         0.001         0.002       
32          8         int32     or        t         12.793601         0.003         0.004       
64          16        int32     or        t         14.422400         0.004         0.008       
128         32        int32     or        t         18.579200         0.007         0.012       
256         64        int32     or        t         27.599999         0.009         0.016       
512         128       int32     or        t         43.964800         0.012         0.020       
1024        256       int32     or        t         77.497602         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         12.761600         0.000         0.001       
8           2         int32     xor       t         11.936000         0.001         0.001       
16          4         int32     xor       t         12.022400         0.001         0.002       
32          8         int32     xor       t         12.883200         0.002         0.004       
64          16        int32     xor       t         14.451200         0.004         0.008       
128         32        int32     xor       t         18.572800         0.007         0.012       
256         64        int32     xor       t         26.758400         0.010         0.017       
512         128       int32     xor       t         43.939200         0.012         0.020       
1024        256       int32     xor       t         76.684803         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         11.993600         0.000         0.001       
8           2         int32     min       t         12.016000         0.001         0.001       
16          4         int32     min       t         12.064000         0.001         0.002       
32          8         int32     min       t         12.886401         0.002         0.004       
