Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       t         12.192000         0.000         0.001       
8           2         int32     sum       t         11.929600         0.001         0.001       
16          4         int32     sum       t         12.028800         0.001         0.002       
32          8         int32     sum       t         12.812801         0.002         0.004       
64          16        int32     sum       t         15.299200         0.004         0.007       
128         32        int32     sum       t         19.324800         0.007         0.012       
256         64        int32     sum       t         27.520001         0.009         0.016       
512         128       int32     sum       t         43.923199         0.012         0.020       
1024        256       int32     sum       t         76.748800         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      t         11.971200         0.000         0.001       
8           2         int32     prod      t         11.961600         0.001         0.001       
16          4         int32     prod      t         11.964800         0.001         0.002       
32          8         int32     prod      t         12.761600         0.003         0.004       
64          16        int32     prod      t         14.492799         0.004         0.008       
128         32        int32     prod      t         19.385600         0.007         0.012       
256         64        int32     prod      t         27.785599         0.009         0.016       
512         128       int32     prod      t         43.900800         0.012         0.020       
1024        256       int32     prod      t         76.646399         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       t         12.006400         0.000         0.001       
8           2         int32     and       t         12.038400         0.001         0.001       
16          4         int32     and       t         11.955200         0.001         0.002       
32          8         int32     and       t         12.787201         0.003         0.004       
64          16        int32     and       t         14.403200         0.004         0.008       
128         32        int32     and       t         19.395199         0.007         0.012       
256         64        int32     and       t         27.555200         0.009         0.016       
512         128       int32     and       t         43.875200         0.012         0.020       
1024        256       int32     and       t         76.691198         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        t         12.326400         0.000         0.001       
8           2         int32     or        t         12.841600         0.001         0.001       
16          4         int32     or        t         12.044800         0.001         0.002       
32          8         int32     or        t         12.726399         0.003         0.004       
64          16        int32     or        t         15.276800         0.004         0.007       
128         32        int32     or        t         18.585600         0.007         0.012       
256         64        int32     or        t         27.587199         0.009         0.016       
512         128       int32     or        t         43.968001         0.012         0.020       
1024        256       int32     or        t         76.732802         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       t         12.707201         0.000         0.001       
8           2         int32     xor       t         11.977600         0.001         0.001       
16          4         int32     xor       t         11.990400         0.001         0.002       
32          8         int32     xor       t         12.800001         0.002         0.004       
64          16        int32     xor       t         15.216000         0.004         0.007       
128         32        int32     xor       t         19.315200         0.007         0.012       
256         64        int32     xor       t         27.561599         0.009         0.016       
512         128       int32     xor       t         43.916801         0.012         0.020       
1024        256       int32     xor       t         76.659203         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       t         11.881600         0.000         0.001       
8           2         int32     min       t         11.939200         0.001         0.001       
16          4         int32     min       t         12.032000         0.001         0.002       
32          8         int32     min       t         12.780800         0.003         0.004       
64          16        int32     min       t         15.251200         0.004         0.007       
128         32        int32     min       t         18.489601         0.007         0.012       
256         64        int32     min       t         27.552000         0.009         0.016       
512         128       int32     min       t         43.977600         0.012         0.020       
1024        256       int32     min       t         77.516800         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       t         12.588800         0.000         0.001       
8           2         int32     max       t         11.936000         0.001         0.001       
16          4         int32     max       t         11.971200         0.001         0.002       
32          8         int32     max       t         12.825599         0.002         0.004       
64          16        int32     max       t         14.508800         0.004         0.008       
128         32        int32     max       t         19.318400         0.007         0.012       
256         64        int32     max       t         27.504000         0.009         0.016       
512         128       int32     max       t         43.884799         0.012         0.020       
1024        256       int32     max       t         76.716799         0.013         0.023       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       t         11.932800         0.001         0.001       
16          2         int64     sum       t         12.012800         0.001         0.002       
32          4         int64     sum       t         12.774400         0.003         0.004       
64          8         int64     sum       t         13.638400         0.005         0.008       
128         16        int64     sum       t         16.940799         0.008         0.013       
256         32        int64     sum       t         22.627200         0.011         0.020       
512         64        int64     sum       t         34.844801         0.015         0.026       
1024        128       int64     sum       t         59.427202         0.017         0.030       
2048        256       int64     sum       t         108.694398        0.019         0.033       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      t         11.980800         0.001         0.001       
16          2         int64     prod      t         11.961600         0.001         0.002       
32          4         int64     prod      t         12.790400         0.003         0.004       
64          8         int64     prod      t         13.568000         0.005         0.008       
128         16        int64     prod      t         16.819200         0.008         0.013       
